[MS Spectrum]
# of Peaks	652
Raw Spectrum	[7.910],(scan:[3165])
Background	No Background Spectrum
Base Peak	m/z 333.95 (Inten : 113,466)
m/z	Absolute Intensity	Relative Intensity
50.65	41	0.04
52.20	63	0.06
54.25	16	0.01
55.25	43	0.04
56.80	48	0.04
58.85	11	0.01
61.25	73	0.06
63.15	19	0.02
64.15	72	0.06
67.55	140	0.12
70.65	8	0.01
71.85	50	0.04
72.85	3	0.00
77.85	23	0.02
78.85	2	0.00
80.20	56	0.05
81.15	6	0.01
82.25	101	0.09
83.90	74	0.07
87.05	175	0.15
91.05	26	0.02
91.95	482	0.42
92.95	19	0.02
93.95	8	0.01
95.95	53	0.05
98.85	113	0.10
100.65	60	0.05
101.75	116	0.10
104.75	5	0.00
105.75	3	0.00
106.75	1	0.00
107.75	51	0.04
108.75	1	0.00
109.75	4	0.00
110.75	4	0.00
112.75	6	0.01
115.25	64	0.06
116.85	99	0.09
117.85	44	0.04
118.85	50	0.04
119.85	57	0.05
122.20	115	0.10
123.15	2	0.00
124.10	34	0.03
125.05	6	0.01
126.05	21	0.02
127.05	2	0.00
129.05	9	0.01
130.05	8	0.01
131.05	1	0.00
132.05	4	0.00
136.05	30	0.03
137.10	515	0.45
138.05	6	0.01
139.05	33	0.03
140.05	24	0.02
141.05	4	0.00
142.05	32	0.03
143.05	1	0.00
144.05	21	0.02
145.00	86	0.08
146.95	14	0.01
149.95	7	0.01
150.95	19	0.02
151.95	17	0.01
152.95	81	0.07
154.95	3	0.00
155.95	7	0.01
156.95	52	0.05
158.95	29	0.03
159.95	27	0.02
160.95	13	0.01
161.95	62	0.05
165.05	327	0.29
166.05	9	0.01
167.05	6	0.01
168.05	61	0.05
169.05	45	0.04
170.05	3	0.00
171.05	5	0.00
172.05	16	0.01
173.05	50	0.04
174.05	7	0.01
176.05	38	0.03
177.05	17	0.01
178.05	88	0.08
179.95	10	0.01
180.80	378	0.33
181.75	18	0.02
182.75	56	0.05
184.30	90	0.08
187.25	7	0.01
189.25	7	0.01
190.25	29	0.03
193.25	31	0.03
194.25	20	0.02
196.35	262	0.23
197.35	84	0.07
199.50	111	0.10
200.35	4	0.00
201.10	119	0.10
203.75	125	0.11
204.75	1	0.00
206.80	79	0.07
208.40	26	0.02
212.45	3	0.00
214.40	68	0.06
214.90	489	0.43
215.60	53	0.05
216.65	58	0.05
217.80	93	0.08
218.75	15	0.01
220.55	39	0.03
221.30	275	0.24
229.20	33	0.03
230.25	8	0.01
232.25	8	0.01
233.25	10	0.01
234.25	3	0.00
236.70	87	0.08
239.65	11	0.01
242.65	4	0.00
244.20	605	0.53
245.60	69	0.06
246.55	1	0.00
248.55	20	0.02
251.55	2	0.00
254.55	4	0.00
256.15	32	0.03
256.50	22	0.02
256.85	52	0.05
258.20	53	0.05
258.70	174	0.15
259.30	16	0.01
260.25	251	0.22
261.00	751	0.66
262.60	48	0.04
264.75	937	0.83
266.75	38	0.03
267.75	11	0.01
268.85	76	0.07
269.35	147	0.13
271.35	1	0.00
272.25	620	0.55
273.15	830	0.73
274.30	21	0.02
274.60	20	0.02
275.65	45	0.04
277.55	6	0.01
278.50	367	0.32
278.90	368	0.32
279.85	8	0.01
280.85	191	0.17
282.00	17525	15.45
282.95	5252	4.63
285.00	139	0.12
286.05	10	0.01
287.85	66	0.06
289.30	82	0.07
290.25	2	0.00
292.50	1962	1.73
293.10	2621	2.31
294.05	413	0.36
294.60	1215	1.07
295.65	971	0.86
296.30	219	0.19
297.10	344	0.30
298.05	6	0.01
299.05	2	0.00
300.05	1	0.00
301.05	3	0.00
303.05	2	0.00
304.05	57	0.05
306.05	72	0.06
307.00	942	0.83
308.80	834	0.74
310.10	16	0.01
311.00	929	0.82
311.80	1390	1.23
313.85	285	0.25
314.85	20	0.02
319.10	131	0.12
319.75	121	0.11
320.75	169	0.15
321.75	1	0.00
323.05	6574	5.79
324.20	1167	1.03
325.00	66	0.06
325.40	151	0.13
326.25	20	0.02
327.05	166	0.15
330.95	27	0.02
331.70	229	0.20
332.75	1722	1.52
333.95	113466	100.00
334.90	113396	99.94
335.90	24975	22.01
337.15	2532	2.23
339.95	23	0.02
340.80	2639	2.33
342.25	209	0.18
343.30	258	0.23
344.10	105	0.09
344.85	118	0.10
345.30	135	0.12
345.85	171	0.15
346.95	318	0.28
347.95	19	0.02
349.60	487	0.43
350.00	152	0.13
351.05	357	0.31
352.05	676	0.60
352.60	457	0.40
353.65	24	0.02
354.65	9	0.01
355.85	1171	1.03
356.85	28	0.02
359.55	47	0.04
361.10	63	0.06
361.50	113	0.10
362.95	214	0.19
363.85	32	0.03
364.80	1212	1.07
365.85	449	0.40
367.20	3260	2.87
367.95	237	0.21
369.20	4594	4.05
370.10	2316	2.04
371.40	207	0.18
373.30	389	0.34
374.25	44	0.04
375.15	668	0.59
375.85	6979	6.15
376.90	1732	1.53
377.85	603	0.53
378.40	122	0.11
379.35	9	0.01
380.75	1188	1.05
381.45	66	0.06
382.45	155	0.14
383.35	2379	2.10
384.25	543	0.48
385.30	250	0.22
386.85	85	0.07
387.20	92	0.08
388.30	64	0.06
389.15	19	0.02
389.95	316	0.28
390.95	12	0.01
393.75	1041	0.92
394.75	18	0.02
396.75	370	0.33
397.55	448	0.39
398.45	187	0.16
399.25	2964	2.61
400.35	87	0.08
400.90	332	0.29
402.00	125	0.11
402.35	158	0.14
403.35	38	0.03
404.35	35	0.03
405.35	12	0.01
406.25	7	0.01
407.05	871	0.77
407.65	816	0.72
408.55	11	0.01
409.30	48	0.04
410.85	741	0.65
412.05	94	0.08
413.10	1049	0.92
415.05	9	0.01
416.90	750	0.66
418.20	616	0.54
419.90	1038	0.91
421.15	530	0.47
421.90	248	0.22
422.30	572	0.50
423.50	1599	1.41
424.65	1141	1.01
425.55	51	0.04
426.40	465	0.41
427.15	184	0.16
427.70	112	0.10
428.65	56	0.05
429.65	18	0.02
431.50	102	0.09
431.85	81	0.07
433.25	989	0.87
434.60	101	0.09
435.00	264	0.23
435.75	13	0.01
436.50	350	0.31
437.55	12	0.01
438.55	23	0.02
439.55	6	0.01
440.55	17	0.01
441.45	2	0.00
442.30	117	0.10
443.40	1342	1.18
444.40	30	0.03
444.95	192	0.17
446.50	93	0.08
447.05	109	0.10
448.55	610	0.54
449.00	139	0.12
450.10	1285	1.13
451.05	1	0.00
452.20	1302	1.15
452.95	267	0.24
453.95	7	0.01
456.20	253	0.22
457.05	279	0.25
457.95	12	0.01
458.75	210	0.19
459.15	192	0.17
460.00	1276	1.12
460.40	637	0.56
461.20	543	0.48
462.05	31	0.03
462.85	103	0.09
463.30	127	0.11
464.45	150	0.13
465.30	321	0.28
466.65	514	0.45
467.25	2454	2.16
468.55	244	0.22
469.30	464	0.41
469.90	183	0.16
471.40	414	0.36
472.35	119	0.10
475.85	1096	0.97
476.75	3	0.00
478.50	191	0.17
479.35	958	0.84
480.10	299	0.26
481.05	427	0.38
482.80	188	0.17
484.20	169	0.15
485.15	14	0.01
486.15	4	0.00
487.05	37	0.03
487.95	105	0.09
488.50	101	0.09
489.50	1583	1.40
490.05	1880	1.66
491.05	1139	1.00
491.60	1158	1.02
492.30	803	0.71
493.15	226	0.20
494.25	2250	1.98
495.35	247	0.22
496.80	304	0.27
497.85	17	0.01
498.85	1	0.00
500.20	234	0.21
501.00	610	0.54
501.85	4	0.00
502.65	517	0.46
503.35	1974	1.74
504.10	819	0.72
505.00	1285	1.13
506.15	1124	0.99
506.80	893	0.79
507.40	624	0.55
507.90	385	0.34
508.95	43	0.04
510.20	642	0.57
511.75	697	0.61
512.65	17	0.01
513.40	451	0.40
514.40	615	0.54
515.05	559	0.49
516.05	41	0.04
517.45	313	0.28
518.70	384	0.34
520.25	1680	1.48
521.20	192	0.17
522.45	136	0.12
523.05	107	0.09
524.10	388	0.34
524.45	549	0.48
525.40	48	0.04
526.35	278	0.25
527.70	107	0.09
528.65	3	0.00
529.65	8	0.01
531.00	486	0.43
532.05	227	0.20
532.50	204	0.18
533.50	116	0.10
534.25	5	0.00
535.05	722	0.64
535.50	105	0.09
536.70	97	0.09
537.40	515	0.45
539.15	971	0.86
539.95	472	0.42
540.95	252	0.22
542.40	470	0.41
542.95	1265	1.11
544.05	139	0.12
544.45	116	0.10
545.10	147	0.13
546.05	11	0.01
547.50	1538	1.36
548.65	379	0.33
549.20	1115	0.98
549.65	232	0.20
550.30	871	0.77
550.80	104	0.09
551.25	178	0.16
552.10	980	0.86
554.05	17	0.01
555.60	387	0.34
557.55	12	0.01
558.75	206	0.18
561.05	157	0.14
561.90	663	0.58
563.35	2025	1.78
565.20	204	0.18
565.70	175	0.15
566.25	944	0.83
567.80	208	0.18
568.65	149	0.13
569.65	6	0.01
570.65	201	0.18
571.65	13	0.01
573.00	308	0.27
573.50	150	0.13
574.65	1106	0.97
575.30	952	0.84
576.25	76	0.07
577.35	9214	8.12
578.50	1702	1.50
579.40	1807	1.59
580.20	62	0.05
581.15	4	0.00
582.15	6	0.01
584.50	193	0.17
585.45	138	0.12
586.10	35	0.03
586.60	64	0.06
588.15	1238	1.09
589.25	3287	2.90
589.85	586	0.52
590.65	1679	1.48
591.35	2393	2.11
592.45	246	0.22
594.45	45	0.04
597.55	860	0.76
598.50	160	0.14
599.55	166	0.15
600.55	17	0.01
601.50	342	0.30
602.45	110	0.10
603.35	11558	10.19
604.30	3227	2.84
605.00	131	0.12
605.45	727	0.64
606.30	2084	1.84
607.30	897	0.79
608.60	692	0.61
610.90	405	0.36
611.55	56	0.05
612.80	168	0.15
613.45	361	0.32
614.50	1408	1.24
615.50	191	0.17
616.40	177	0.16
616.85	245	0.22
618.40	1387	1.22
618.85	808	0.71
620.85	58	0.05
623.05	2367	2.09
624.05	9	0.01
624.95	9	0.01
625.90	606	0.53
627.05	1084	0.96
628.55	351	0.31
629.05	123	0.11
629.60	165	0.15
630.55	18	0.02
631.45	540	0.48
634.45	555	0.49
637.40	263	0.23
638.50	234	0.21
639.50	998	0.88
640.10	251	0.22
640.60	42	0.04
642.65	11	0.01
644.40	347	0.31
644.85	1020	0.90
646.30	806	0.71
647.55	593	0.52
648.10	134	0.12
648.45	92	0.08
649.05	191	0.17
649.55	208	0.18
650.45	382	0.34
651.45	1	0.00
652.45	531	0.47
653.55	29	0.03
654.55	2	0.00
655.45	35	0.03
656.35	198	0.17
657.55	218	0.19
658.35	146	0.13
659.25	1533	1.35
661.20	624	0.55
662.15	28	0.02
663.30	3096	2.73
664.20	1281	1.13
664.95	1110	0.98
665.85	54	0.05
667.10	9474	8.35
668.00	2104	1.85
669.10	937	0.83
669.50	166	0.15
670.05	131	0.12
670.90	1792	1.58
672.15	500	0.44
673.40	752	0.66
674.25	270	0.24
674.65	62	0.05
675.65	30	0.03
676.45	15	0.01
677.35	425	0.37
677.75	481	0.42
678.35	26	0.02
679.10	2652	2.34
679.85	318	0.28
680.35	769	0.68
681.70	685	0.60
682.10	245	0.22
684.40	992	0.87
685.70	1738	1.53
686.65	47	0.04
688.90	703	0.62
690.30	2075	1.83
691.15	692	0.61
692.20	530	0.47
692.80	680	0.60
694.25	609	0.54
695.25	36	0.03
696.30	468	0.41
697.20	325	0.29
699.20	573	0.50
700.30	505	0.45
701.15	1390	1.23
701.70	1045	0.92
703.60	56	0.05
704.55	2075	1.83
705.55	3	0.00
708.10	1048	0.92
708.65	519	0.46
709.35	912	0.80
709.95	1473	1.30
710.55	49	0.04
712.40	132	0.12
713.30	1069	0.94
715.65	817	0.72
716.15	79	0.07
717.15	818	0.72
718.30	8557	7.54
719.40	5058	4.46
720.40	435	0.38
721.25	443	0.39
722.10	4684	4.13
723.00	9091	8.01
724.25	4327	3.81
725.30	3564	3.14
726.50	461	0.41
726.95	298	0.26
728.25	143	0.13
730.10	715	0.63
731.15	50	0.04
731.65	184	0.16
732.15	95	0.08
733.70	286	0.25
734.30	134	0.12
735.00	251	0.22
736.40	100	0.09
737.55	141	0.12
738.60	200	0.18
739.15	556	0.49
740.60	41	0.04
741.10	394	0.35
741.95	375	0.33
743.10	160	0.14
744.35	17987	15.85
745.45	6598	5.81
746.15	598	0.53
746.70	739	0.65
747.25	1197	1.05
748.20	843	0.74
749.10	90	0.08
750.35	2738	2.41
751.05	609	0.54
751.85	157	0.14
752.75	364	0.32
753.30	230	0.20
754.25	303	0.27
755.25	974	0.86
756.15	661	0.58
756.80	832	0.73
757.85	71	0.06
759.30	1379	1.22
759.95	2093	1.84
760.65	324	0.29
761.50	2221	1.96
762.20	84	0.07
762.70	478	0.42
763.80	99	0.09
764.40	275	0.24
765.35	559	0.49
766.30	1421	1.25
766.85	284	0.25
767.40	936	0.82
767.85	318	0.28
768.50	597	0.53
769.00	107	0.09
769.50	349	0.31
770.80	577	0.51
772.35	594	0.52
773.85	682	0.60
775.20	797	0.70
776.95	184	0.16
778.25	802	0.71
779.15	178	0.16
780.05	292	0.26
780.70	1028	0.91
781.65	1139	1.00
782.70	423	0.37
783.15	294	0.26
785.30	2092	1.84
786.20	5761	5.08
787.10	2496	2.20
787.65	1296	1.14
788.45	2769	2.44
789.50	802	0.71
790.50	1195	1.05
791.10	163	0.14
791.85	2	0.00
792.75	685	0.60
793.55	40	0.04
794.40	1144	1.01
795.00	378	0.33
795.40	163	0.14
796.40	455	0.40
797.65	767	0.68
798.30	465	0.41
799.30	1146	1.01
Event	1
