[MS Spectrum]
# of Peaks	683
Raw Spectrum	[9.295],(scan:[3719])
Background	No Background Spectrum
Base Peak	m/z 760.40 (Inten : 31,625)
m/z	Absolute Intensity	Relative Intensity
51.50	38	0.12
54.45	14	0.04
56.45	3	0.01
57.45	10	0.03
59.65	657	2.08
60.65	11	0.03
62.05	131	0.41
62.40	54	0.17
63.35	31	0.10
64.35	13	0.04
65.35	10	0.03
66.65	114	0.36
67.65	15	0.05
68.65	57	0.18
69.65	31	0.10
72.65	4	0.01
73.90	150	0.47
75.55	88	0.28
77.45	6	0.02
78.25	98	0.31
78.80	139	0.44
79.75	30	0.09
80.75	31	0.10
81.75	6	0.02
82.75	30	0.09
85.30	450	1.42
87.60	82	0.26
89.65	13	0.04
90.65	33	0.10
91.65	1	0.00
92.65	15	0.05
93.65	3	0.01
94.65	5	0.02
95.65	6	0.02
96.65	80	0.25
97.10	86	0.27
98.15	24	0.08
99.35	91	0.29
100.15	28	0.09
101.00	402	1.27
102.15	5641	17.84
102.95	1078	3.41
104.05	88	0.28
105.85	102	0.32
108.70	56	0.18
111.65	8	0.03
112.65	10	0.03
113.65	15	0.05
114.65	3	0.01
115.65	12	0.04
116.65	3	0.01
117.65	82	0.26
118.65	28	0.09
119.55	157	0.50
120.10	357	1.13
121.15	2	0.01
122.15	11	0.03
123.15	9	0.03
124.15	3	0.01
125.15	25	0.08
126.15	8	0.03
127.70	94	0.30
128.10	103	0.33
130.05	25	0.08
133.05	10	0.03
134.05	21	0.07
137.05	6	0.02
140.05	12	0.04
142.05	103	0.33
143.05	13951	44.11
144.35	1243	3.93
146.00	176	0.56
146.45	69	0.22
149.45	3	0.01
150.45	11	0.03
153.45	1	0.00
155.45	17	0.05
156.45	29	0.09
158.45	50	0.16
160.45	14	0.04
161.45	15	0.05
162.45	16	0.05
163.45	5	0.02
164.45	9	0.03
165.45	56	0.18
168.45	3	0.01
170.05	87	0.28
173.05	3	0.01
173.85	8	0.03
174.65	47	0.15
177.05	398	1.26
178.05	19	0.06
179.05	12	0.04
181.05	1	0.00
182.05	167	0.53
183.25	155	0.49
184.15	620	1.96
184.65	202	0.64
185.65	11	0.03
186.65	21	0.07
188.65	3	0.01
191.50	89	0.28
192.70	45	0.14
193.85	3654	11.55
195.15	1092	3.45
195.95	14	0.04
196.80	430	1.36
197.75	24	0.08
198.75	3	0.01
199.75	11	0.03
200.75	19	0.06
201.75	31	0.10
202.75	29	0.09
203.75	13	0.04
204.75	54	0.17
205.75	6	0.02
207.75	39	0.12
208.75	21	0.07
209.75	24	0.08
210.75	16	0.05
211.75	12	0.04
212.75	37	0.12
214.00	467	1.48
215.05	36	0.11
216.05	4	0.01
217.05	12	0.04
218.05	2	0.01
220.05	3	0.01
221.05	36	0.11
222.05	22	0.07
223.05	10	0.03
224.10	284	0.90
225.95	24	0.08
226.80	66	0.21
227.25	391	1.24
228.25	27	0.09
229.25	6	0.02
230.25	5	0.02
231.60	109	0.34
235.80	114	0.36
237.75	1	0.00
238.75	1	0.00
240.75	29	0.09
241.70	208	0.66
244.85	49	0.15
245.25	123	0.39
247.25	6	0.02
248.45	103	0.33
249.45	51	0.16
252.45	49	0.15
254.55	197	0.62
255.45	7	0.02
256.30	173	0.55
257.25	45	0.14
258.15	2	0.01
258.95	120	0.38
259.95	18	0.06
260.95	53	0.17
261.95	2	0.01
263.50	39	0.12
264.45	42	0.13
266.20	120	0.38
267.05	6	0.02
267.80	78	0.25
269.00	177	0.56
269.95	4	0.01
270.80	80	0.25
271.60	177	0.56
273.55	91	0.29
275.55	17	0.05
276.55	2	0.01
277.55	10	0.03
278.35	20	0.06
279.20	261	0.83
281.15	7	0.02
284.40	51	0.16
285.80	88	0.28
286.85	28	0.09
287.80	79	0.25
288.25	271	0.86
290.25	14	0.04
295.90	362	1.14
296.70	299	0.95
297.45	9	0.03
