[MS Spectrum]
# of Peaks	826
Raw Spectrum	[9.297],(scan:[3720])
Background	No Background Spectrum
Base Peak	m/z 52.05 (Inten : 39,096)
m/z	Absolute Intensity	Relative Intensity
50.65	6226	15.92
52.05	39096	100.00
53.70	17071	43.66
54.80	13697	35.03
55.85	9817	25.11
56.85	7863	20.11
57.95	7919	20.26
59.00	5309	13.58
60.05	6750	17.27
60.65	2325	5.95
61.30	7883	20.16
62.55	10552	26.99
64.05	8334	21.32
65.60	7607	19.46
66.90	5297	13.55
68.20	7404	18.94
69.50	5491	14.04
70.85	6857	17.54
71.85	1584	4.05
72.65	4829	12.35
73.75	3819	9.77
74.70	3448	8.82
75.95	5618	14.37
76.95	1366	3.49
77.55	5459	13.96
79.20	5136	13.14
80.50	2807	7.18
81.45	989	2.53
82.00	3026	7.74
82.85	1535	3.93
83.60	2285	5.84
84.80	3727	9.53
85.35	850	2.17
86.15	913	2.34
86.50	3582	9.16
87.80	2399	6.14
88.85	2082	5.33
89.60	957	2.45
90.65	1066	2.73
91.45	1904	4.87
92.50	2076	5.31
93.45	687	1.76
94.05	1877	4.80
94.85	640	1.64
95.65	1723	4.41
96.95	1466	3.75
97.50	673	1.72
98.25	1495	3.82
99.05	830	2.12
99.60	590	1.51
100.15	808	2.07
101.20	615	1.57
101.75	761	1.95
102.75	680	1.74
103.25	772	1.97
103.80	665	1.70
104.35	739	1.89
105.10	1124	2.87
105.85	741	1.90
106.40	556	1.42
106.90	549	1.40
107.50	1110	2.84
108.05	369	0.94
108.55	572	1.46
109.10	461	1.18
109.60	374	0.96
110.15	457	1.17
110.65	644	1.65
111.20	410	1.05
111.75	526	1.35
112.20	523	1.34
112.70	448	1.15
113.25	585	1.50
113.80	532	1.36
114.35	388	0.99
114.85	582	1.49
115.35	663	1.70
115.85	322	0.82
116.40	715	1.83
116.95	262	0.67
117.80	1175	3.01
118.55	268	0.69
119.05	447	1.14
119.60	339	0.87
120.15	355	0.91
120.60	369	0.94
121.20	378	0.97
122.20	442	1.13
122.75	504	1.29
123.30	378	0.97
124.05	985	2.52
124.85	220	0.56
125.35	431	1.10
125.90	256	0.65
126.45	284	0.73
126.90	392	1.00
127.45	217	0.56
