[MS Spectrum]
# of Peaks	534
Raw Spectrum	[7.990],(scan:[3197])
Background	No Background Spectrum
Base Peak	m/z 282.05 (Inten : 111,434)
m/z	Absolute Intensity	Relative Intensity
50.85	12	0.01
51.85	60	0.05
52.85	13	0.01
53.85	1	0.00
55.85	2	0.00
56.85	3	0.00
57.85	3	0.00
58.85	8	0.01
59.85	14	0.01
61.85	84	0.08
62.85	36	0.03
64.30	62	0.06
65.35	7	0.01
66.35	26	0.02
67.35	9	0.01
71.35	6	0.01
72.35	14	0.01
73.40	111	0.10
74.35	8	0.01
76.35	40	0.04
77.35	7	0.01
78.35	9	0.01
79.35	12	0.01
80.35	38	0.03
81.35	23	0.02
82.35	14	0.01
84.35	40	0.04
85.35	16	0.01
86.35	4	0.00
88.35	14	0.01
89.35	2	0.00
90.35	32	0.03
91.35	13	0.01
93.35	60	0.05
96.35	9	0.01
97.35	7	0.01
98.35	3	0.00
99.35	25	0.02
100.35	30	0.03
101.35	1	0.00
102.35	12	0.01
103.35	2	0.00
104.35	42	0.04
105.35	1	0.00
106.35	33	0.03
109.35	6	0.01
111.35	16	0.01
112.35	5	0.00
114.35	32	0.03
115.35	53	0.05
117.35	16	0.01
118.35	7	0.01
119.35	35	0.03
121.35	22	0.02
122.35	5	0.00
123.35	4	0.00
124.35	17	0.02
125.35	34	0.03
126.35	35	0.03
127.35	24	0.02
128.35	37	0.03
130.35	26	0.02
131.35	21	0.02
132.35	6	0.01
135.35	25	0.02
136.35	44	0.04
138.35	10	0.01
139.35	26	0.02
141.35	4	0.00
142.35	6	0.01
147.35	1	0.00
148.35	18	0.02
149.35	2	0.00
150.35	10	0.01
153.35	11	0.01
156.35	7	0.01
158.35	5	0.00
159.35	5	0.00
160.35	10	0.01
161.45	87	0.08
162.45	14	0.01
163.70	46	0.04
164.65	21	0.02
166.65	57	0.05
169.65	29	0.03
170.95	46	0.04
172.95	62	0.06
175.95	1	0.00
177.20	39	0.03
178.25	32	0.03
180.25	2	0.00
181.25	51	0.05
183.25	8	0.01
184.25	17	0.02
185.75	96	0.09
186.15	119	0.11
187.15	36	0.03
190.45	22	0.02
192.40	16	0.01
194.45	3	0.00
197.05	103	0.09
197.95	126	0.11
199.95	16	0.01
200.95	40	0.04
202.20	54	0.05
204.15	15	0.01
205.15	4	0.00
212.85	69	0.06
213.10	54	0.05
214.70	107	0.10
215.65	22	0.02
220.65	26	0.02
222.10	49	0.04
222.50	87	0.08
223.60	130	0.12
224.65	29	0.03
225.45	5	0.00
226.25	84	0.08
227.25	24	0.02
228.25	41	0.04
229.25	1	0.00
230.25	8	0.01
231.25	4	0.00
232.25	10	0.01
234.25	70	0.06
235.25	34	0.03
237.25	37	0.03
239.15	30	0.03
240.05	381	0.34
241.95	31	0.03
243.30	162	0.15
244.10	110	0.10
245.70	68	0.06
246.15	149	0.13
246.85	703	0.63
247.85	86	0.08
248.90	95	0.09
249.25	122	0.11
250.35	4	0.00
253.35	26	0.02
254.35	4	0.00
255.35	4	0.00
256.35	9	0.01
257.35	171	0.15
258.35	21	0.02
260.90	108	0.10
261.85	3	0.00
