[MS Spectrum]
# of Peaks	789
Raw Spectrum	[9.040],(scan:[3617])
Background	No Background Spectrum
Base Peak	m/z 353.90 (Inten : 31,251)
m/z	Absolute Intensity	Relative Intensity
51.65	16	0.05
52.65	8	0.03
53.65	26	0.08
54.65	52	0.17
56.65	32	0.10
57.65	29	0.09
58.65	58	0.19
59.65	7	0.02
60.90	107	0.34
61.40	119	0.38
62.35	7	0.02
63.50	68	0.22
65.45	24	0.08
66.45	7	0.02
67.45	6	0.02
68.45	32	0.10
69.45	49	0.16
70.45	50	0.16
71.45	36	0.12
73.30	846	2.71
74.20	754	2.41
75.15	5	0.02
76.15	4	0.01
79.20	2285	7.31
79.90	3131	10.02
81.75	11	0.04
82.70	279	0.89
83.25	837	2.68
84.75	1721	5.51
85.15	1507	4.82
86.65	2387	7.64
87.30	3520	11.26
87.95	660	2.11
88.45	1532	4.90
89.45	44	0.14
90.45	46	0.15
91.45	32	0.10
92.45	90	0.29
93.55	215	0.69
94.55	8	0.03
95.55	14	0.04
96.55	77	0.25
97.55	11	0.04
100.15	4336	13.87
101.00	5133	16.43
102.25	823	2.63
103.25	16	0.05
104.15	76	0.24
105.00	1986	6.35
105.60	71	0.23
107.20	424	1.36
107.65	128	0.41
109.05	328	1.05
109.85	141	0.45
110.65	6	0.02
111.45	241	0.77
112.00	85	0.27
112.40	170	0.54
113.05	158	0.51
113.45	188	0.60
114.55	918	2.94
115.20	2490	7.97
116.20	267	0.85
117.15	26	0.08
118.00	290	0.93
119.05	7	0.02
119.95	2527	8.09
120.90	1366	4.37
121.80	4111	13.15
123.00	507	1.62
123.75	674	2.16
124.30	391	1.25
125.90	8745	27.98
126.75	1685	5.39
128.05	627	2.01
128.85	289	0.92
129.90	2707	8.66
131.10	573	1.83
131.45	185	0.59
132.45	37	0.12
133.25	12	0.04
134.15	192	0.61
134.75	1048	3.35
135.65	246	0.79
136.25	349	1.12
136.70	105	0.34
137.30	37	0.12
137.65	71	0.23
138.40	130	0.42
138.75	226	0.72
139.75	755	2.42
140.25	470	1.50
141.05	746	2.39
142.15	1213	3.88
143.20	233	0.75
144.40	340	1.09
144.95	262	0.84
145.90	1947	6.23
146.75	5341	17.09
147.80	319	1.02
148.20	441	1.41
149.25	5	0.02
150.15	926	2.96
152.50	276	0.88
155.55	57	0.18
157.10	832	2.66
158.20	108	0.35
159.45	284	0.91
161.35	5	0.02
162.50	85	0.27
163.10	87	0.28
164.15	30	0.10
165.70	97	0.31
167.05	298	0.95
167.70	158	0.51
168.35	160	0.51
169.10	624	2.00
170.60	127	0.41
171.10	900	2.88
172.05	143	0.46
172.65	658	2.11
174.20	20	0.06
177.15	9	0.03
179.40	41	0.13
180.00	1021	3.27
180.75	970	3.10
182.15	359	1.15
183.40	302	0.97
183.95	276	0.88
184.65	210	0.67
185.70	174	0.56
186.70	101	0.32
187.30	67	0.21
188.10	326	1.04
189.75	143	0.46
191.05	129	0.41
193.60	328	1.05
194.30	393	1.26
195.05	909	2.91
195.95	2689	8.60
196.65	250	0.80
197.50	483	1.55
198.25	1149	3.68
198.75	303	0.97
200.25	51	0.16
200.80	180	0.58
201.60	560	1.79
202.30	953	3.05
204.90	382	1.22
205.75	1012	3.24
209.75	31	0.10
210.75	29	0.09
212.30	935	2.99
212.75	486	1.56
214.20	152	0.49
216.70	761	2.44
217.10	115	0.37
217.90	46	0.15
218.25	57	0.18
219.40	70	0.22
219.90	232	0.74
220.65	18	0.06
221.40	535	1.71
222.70	220	0.70
223.75	191	0.61
225.60	1360	4.35
226.95	1711	5.48
228.00	2143	6.86
228.65	323	1.03
230.05	4	0.01
230.75	826	2.64
232.95	4	0.01
234.95	1	0.00
235.95	25	0.08
236.95	6	0.02
237.90	227	0.73
238.35	835	2.67
239.05	38	0.12
240.25	798	2.55
242.05	924	2.96
243.85	1905	6.10
244.85	1310	4.19
245.75	11	0.04
247.15	1884	6.03
247.95	560	1.79
248.85	124	0.40
249.50	222	0.71
250.10	78	0.25
253.40	382	1.22
254.10	395	1.26
254.85	533	1.71
255.90	708	2.27
256.40	594	1.90
257.15	557	1.78
258.95	2604	8.33
260.15	220	0.70
261.00	683	2.19
262.50	114	0.36
263.25	439	1.40
264.05	604	1.93
264.90	337	1.08
265.35	725	2.32
266.00	202	0.65
266.75	1420	4.54
267.70	914	2.92
268.95	329	1.05
270.25	1627	5.21
271.25	103	0.33
272.80	87	0.28
273.75	60	0.19
275.70	263	0.84
276.25	655	2.10
277.10	347	1.11
278.30	922	2.95
279.05	2454	7.85
279.95	1996	6.39
280.95	544	1.74
282.10	13279	42.49
283.05	556	1.78
284.00	2065	6.61
285.30	228	0.73
285.70	44	0.14
286.75	4	0.01
287.95	1571	5.03
289.05	621	1.99
290.15	17	0.05
291.70	619	1.98
293.00	868	2.78
293.85	58	0.19
294.50	1564	5.00
296.10	11518	36.86
297.30	1490	4.77
297.80	1212	3.88
298.25	826	2.64
299.00	69	0.22
299.95	1010	3.23
300.45	457	1.46
301.95	493	1.58
302.65	103	0.33
303.40	491	1.57
305.40	131	0.42
307.85	1178	3.77
309.00	261	0.84
309.80	1469	4.70
310.85	3520	11.26
311.55	1854	5.93
312.45	517	1.65
312.90	513	1.64
314.05	973	3.11
315.25	396	1.27
316.30	623	1.99
317.80	121	0.39
319.00	547	1.75
320.45	313	1.00
321.45	7	0.02
322.60	703	2.25
323.20	3274	10.48
324.20	3541	11.33
325.20	3246	10.39
