[MS Spectrum]
# of Peaks	660
Raw Spectrum	[9.042],(scan:[3618])
Background	No Background Spectrum
Base Peak	m/z 352.85 (Inten : 99,993)
m/z	Absolute Intensity	Relative Intensity
51.65	1828	1.83
52.65	5199	5.20
53.55	6601	6.60
53.70	51533	51.54
56.00	23369	23.37
56.15	5712	5.71
57.80	20714	20.72
57.95	3769	3.77
59.45	7018	7.02
60.50	6465	6.47
61.60	6176	6.18
62.65	5309	5.31
63.25	2106	2.11
64.05	2144	2.14
64.85	10151	10.15
66.30	6273	6.27
66.75	2256	2.26
67.65	9040	9.04
68.95	5268	5.27
69.35	2055	2.06
70.25	7814	7.81
70.95	1774	1.77
71.80	6416	6.42
73.20	4419	4.42
74.30	4298	4.30
75.35	3807	3.81
75.75	1419	1.42
76.60	5479	5.48
77.55	1380	1.38
78.15	5591	5.59
79.75	4786	4.79
81.15	3454	3.45
81.65	1115	1.12
82.90	4093	4.09
83.45	1101	1.10
84.50	1283	1.28
85.40	2681	2.68
86.45	2269	2.27
87.45	2247	2.25
87.95	792	0.79
88.55	2416	2.42
89.30	930	0.93
90.15	780	0.78
91.00	6635	6.64
92.10	2572	2.57
93.00	984	0.98
94.50	3080	3.08
95.90	1759	1.76
96.85	1159	1.16
97.90	1504	1.50
98.45	481	0.48
99.50	1481	1.48
100.05	455	0.46
100.85	2050	2.05
101.90	594	0.59
102.95	520	0.52
104.00	45000	45.00
105.30	1071	1.07
106.65	665	0.67
107.25	604	0.60
108.25	618	0.62
109.25	566	0.57
109.90	612	0.61
110.70	1150	1.15
111.75	853	0.85
112.70	846	0.85
114.05	531	0.53
115.40	879	0.88
116.15	407	0.41
116.85	3655	3.66
117.90	1158	1.16
118.70	806	0.81
119.45	208	0.21
120.55	584	0.58
121.40	778	0.78
122.15	607	0.61
122.70	292	0.29
123.35	433	0.43
124.45	568	0.57
125.20	219	0.22
125.85	345	0.35
126.30	336	0.34
126.90	556	0.56
127.90	358	0.36
128.40	104	0.10
129.05	247	0.25
129.50	318	0.32
130.00	330	0.33
130.85	935	0.94
131.85	706	0.71
132.55	2163	2.16
133.05	3023	3.02
133.70	525	0.53
134.55	1401	1.40
135.30	272	0.27
135.80	171	0.17
136.35	230	0.23
136.95	353	0.35
137.55	152	0.15
137.95	158	0.16
138.85	693	0.69
139.60	251	0.25
140.00	77	0.08
140.95	1014	1.01
141.55	153	0.15
143.00	2117	2.12
144.35	367	0.37
144.85	775	0.78
145.90	176	0.18
146.35	144	0.14
147.00	138	0.14
147.40	32	0.03
147.95	66	0.07
148.55	177	0.18
149.05	144	0.14
149.50	103	0.10
150.10	222	0.22
150.55	131	0.13
151.20	68	0.07
151.65	154	0.15
152.15	229	0.23
152.70	47	0.05
153.30	240	0.24
153.75	150	0.15
154.30	158	0.16
154.85	122	0.12
155.85	105	0.11
156.40	243	0.24
156.90	31	0.03
157.45	103	0.10
158.00	66	0.07
158.60	124	0.12
159.00	65	0.07
159.60	104	0.10
160.05	165	0.17
160.65	204	0.20
161.05	139	0.14
161.65	130	0.13
162.25	265	0.27
162.75	53	0.05
163.35	130	0.13
163.75	106	0.11
164.30	59	0.06
165.00	60	0.06
165.45	156	0.16
165.85	116	0.12
166.50	99	0.10
167.25	12	0.01
168.05	128	0.13
168.50	160	0.16
169.65	219	0.22
170.65	2091	2.09
171.25	137	0.14
172.00	224	0.22
172.80	248	0.25
173.65	81	0.08
174.30	195	0.20
175.00	111	0.11
175.75	361	0.36
176.50	88	0.09
177.50	179	0.18
178.35	245	0.25
179.10	25	0.03
179.85	246	0.25
180.50	50	0.05
181.20	153	0.15
181.85	70	0.07
182.80	134	0.13
183.75	6	0.01
184.50	113	0.11
184.95	104	0.10
186.60	245	0.25
187.35	115	0.12
188.10	49	0.05
188.75	54	0.05
189.35	134	0.13
190.65	2380	2.38
191.40	1121	1.12
192.20	301	0.30
194.05	233	0.23
195.10	2628	2.63
195.95	8	0.01
196.80	74	0.07
197.80	51	0.05
198.35	54	0.05
199.85	71	0.07
200.95	74	0.07
201.85	12	0.01
202.70	260	0.26
203.50	74	0.07
204.45	51	0.05
205.10	41	0.04
205.60	43	0.04
205.95	69	0.07
207.20	60	0.06
208.15	79	0.08
208.80	37	0.04
209.10	27	0.03
210.35	93	0.09
211.50	606	0.61
212.90	1117	1.12
213.85	3	0.00
214.85	5	0.01
216.45	159	0.16
217.45	9	0.01
218.45	9	0.01
219.65	127	0.13
220.65	1	0.00
222.00	18	0.02
222.45	67	0.07
226.20	42	0.04
226.50	45	0.05
228.35	136	0.14
229.75	49	0.05
230.75	25	0.03
231.75	11	0.01
233.00	66	0.07
234.45	141	0.14
235.45	18	0.02
236.25	26	0.03
237.00	36	0.04
238.30	79	0.08
238.75	84	0.08
241.45	77	0.08
241.90	66	0.07
244.55	71	0.07
245.55	24	0.02
246.55	72	0.07
247.55	2	0.00
248.45	6	0.01
249.25	45	0.05
250.25	20	0.02
251.25	79	0.08
252.25	2	0.00
253.50	130	0.13
255.00	9480	9.48
255.95	33	0.03
256.95	2	0.00
259.95	45	0.05
260.95	6	0.01
262.50	113	0.11
263.10	1629	1.63
264.05	28	0.03
265.05	59	0.06
266.05	2	0.00
269.15	554	0.55
270.30	29	0.03
271.35	23	0.02
272.55	804	0.80
273.00	912	0.91
274.65	449	0.45
276.65	6	0.01
277.65	1	0.00
280.95	4845	4.85
281.85	18	0.02
282.85	622	0.62
283.85	38	0.04
284.85	15	0.02
286.85	12	0.01
289.85	36	0.04
290.85	1	0.00
291.85	22	0.02
293.10	6991	6.99
294.10	658	0.66
294.70	2393	2.39
295.40	144	0.14
295.90	1761	1.76
301.15	5404	5.40
302.25	15	0.02
304.25	2	0.00
305.25	11	0.01
306.25	6	0.01
307.20	1154	1.15
308.65	4569	4.57
309.90	429	0.43
311.10	3742	3.74
311.85	2298	2.30
312.70	1370	1.37
313.75	29	0.03
315.75	35	0.04
316.75	18	0.02
318.10	89	0.09
318.65	715	0.72
320.80	2378	2.38
321.35	3667	3.67
322.25	17	0.02
323.15	1144	1.14
324.15	52	0.05
325.05	5144	5.14
326.95	2358	2.36
328.45	1393	1.39
328.85	201	0.20
330.85	35	0.04
332.85	14	0.01
333.85	29	0.03
335.85	8	0.01
337.10	1459	1.46
337.70	2246	2.25
338.10	374	0.37
339.10	6337	6.34
339.65	294	0.29
340.45	223	0.22
