[MS Spectrum]
# of Peaks	590
Raw Spectrum	[9.085],(scan:[3635])
Background	No Background Spectrum
Base Peak	m/z 399.80 (Inten : 15,897)
m/z	Absolute Intensity	Relative Intensity
53.10	106	0.67
53.60	66	0.42
54.75	47	0.30
56.75	50	0.31
58.65	218	1.37
59.30	1039	6.54
61.25	10	0.06
64.25	8	0.05
68.25	30	0.19
71.10	83	0.52
71.65	53	0.33
73.45	2	0.01
74.20	762	4.79
80.15	1534	9.65
81.15	17	0.11
82.15	10	0.06
84.15	70	0.44
85.15	75	0.47
86.10	189	1.19
87.10	5622	35.37
88.15	937	5.89
91.15	20	0.13
92.15	5	0.03
94.15	3	0.02
95.10	18	0.11
97.05	2	0.01
99.90	1957	12.31
101.25	3687	23.19
101.95	568	3.57
102.95	8	0.05
104.45	1952	12.28
105.25	6	0.04
106.10	1134	7.13
107.20	216	1.36
109.05	19	0.12
114.05	13	0.08
118.05	5	0.03
119.25	182	1.14
120.85	10142	63.80
121.75	10	0.06
122.75	77	0.48
124.05	146	0.92
126.05	213	1.34
127.30	181	1.14
127.95	761	4.79
128.35	816	5.13
128.80	376	2.37
129.85	747	4.70
130.50	266	1.67
132.05	279	1.76
133.05	28	0.18
136.35	187	1.18
139.65	129	0.81
141.50	90	0.57
142.45	83	0.52
143.45	20	0.13
145.05	948	5.96
145.65	873	5.49
146.75	2080	13.08
148.15	466	2.93
149.10	621	3.91
149.80	19	0.12
150.10	34	0.21
151.15	5	0.03
153.05	473	2.98
154.05	25	0.16
155.15	367	2.31
156.55	137	0.86
157.20	611	3.84
158.30	92	0.58
159.05	208	1.31
159.55	209	1.31
160.05	120	0.75
160.75	130	0.82
161.75	119	0.75
162.40	86	0.54
163.00	406	2.55
164.40	125	0.79
165.45	8	0.05
167.70	53	0.33
169.10	542	3.41
170.95	1111	6.99
171.55	1206	7.59
172.05	1488	9.36
173.20	88	0.55
174.05	1033	6.50
175.25	604	3.80
176.25	5	0.03
179.15	16	0.10
179.90	573	3.60
180.90	46	0.29
182.80	704	4.43
184.10	1540	9.69
185.20	114	0.72
186.15	9	0.06
189.15	8	0.05
190.15	43	0.27
191.40	306	1.92
191.90	630	3.96
192.95	53	0.33
194.20	1423	8.95
195.90	1661	10.45
197.85	329	2.07
198.60	1321	8.31
199.15	1468	9.23
200.70	246	1.55
202.20	499	3.14
203.25	600	3.77
203.70	106	0.67
204.75	10	0.06
207.75	4	0.03
208.75	1	0.01
209.95	981	6.17
211.25	59	0.37
212.75	273	1.72
213.75	914	5.75
215.20	904	5.69
215.70	100	0.63
217.10	852	5.36
219.05	10	0.06
220.85	817	5.14
221.95	286	1.80
224.95	276	1.74
226.10	79	0.50
226.55	98	0.62
228.55	4	0.03
231.55	17	0.11
233.55	26	0.16
235.55	11	0.07
236.95	50	0.31
237.75	227	1.43
238.20	69	0.43
238.65	145	0.91
239.45	11	0.07
240.25	213	1.34
242.25	8	0.05
244.25	2	0.01
245.60	91	0.57
248.70	626	3.94
249.20	143	0.90
250.25	156	0.98
251.40	180	1.13
253.35	4	0.03
254.45	236	1.48
255.75	600	3.77
256.75	27	0.17
257.75	37	0.23
258.80	87	0.55
261.15	527	3.32
262.15	21	0.13
263.95	1240	7.80
264.85	5	0.03
265.85	180	1.13
266.35	214	1.35
268.25	5	0.03
270.85	56	0.35
273.10	46	0.29
273.80	272	1.71
275.00	478	3.01
275.95	20	0.13
277.95	68	0.43
278.90	1436	9.03
279.95	875	5.50
282.05	1021	6.42
283.55	672	4.23
284.25	676	4.25
285.25	199	1.25
286.80	568	3.57
287.75	20	0.13
289.60	183	1.15
295.55	1	0.01
296.55	92	0.58
297.55	2	0.01
299.55	14	0.09
300.55	4	0.03
301.55	40	0.25
302.40	175	1.10
303.45	68	0.43
304.35	1	0.01
305.30	91	0.57
305.85	45	0.28
306.20	78	0.49
307.40	751	4.72
309.35	22	0.14
310.35	21	0.13
311.90	394	2.48
314.45	265	1.67
316.45	8	0.05
317.70	241	1.52
318.75	10	0.06
320.00	712	4.48
320.80	341	2.15
322.10	204	1.28
322.95	2	0.01
323.95	582	3.66
324.75	42	0.26
325.75	1	0.01
326.75	23	0.14
327.75	5	0.03
329.05	240	1.51
330.05	4	0.03
331.05	16	0.10
332.05	19	0.12
332.85	344	2.16
334.70	493	3.10
335.65	29	0.18
338.10	955	6.01
339.00	354	2.23
341.85	42	0.26
343.00	685	4.31
345.15	394	2.48
346.15	25	0.16
347.15	9	0.06
349.85	68	0.43
350.50	364	2.29
351.05	212	1.33
352.20	523	3.29
352.75	277	1.74
353.20	384	2.42
354.90	350	2.20
358.05	545	3.43
359.05	6	0.04
360.05	29	0.18
361.15	556	3.50
