[MS Spectrum]
# of Peaks	562
Raw Spectrum	[9.087],(scan:[3636])
Background	No Background Spectrum
Base Peak	m/z 53.55 (Inten : 47,428)
m/z	Absolute Intensity	Relative Intensity
51.65	1989	4.19
52.65	5154	10.87
53.55	47428	100.00
56.15	5650	11.91
56.60	47420	99.98
57.15	4555	9.60
58.05	3637	7.67
59.35	6877	14.50
60.40	6240	13.16
60.85	2112	4.45
61.75	8355	17.62
63.05	5330	11.24
63.65	2110	4.45
64.95	10070	21.23
65.95	2157	4.55
67.15	10258	21.63
68.05	2266	4.78
68.90	9100	19.19
69.65	2088	4.40
70.55	7736	16.31
71.85	4691	9.89
72.95	4863	10.25
73.65	1479	3.12
74.70	6431	13.56
76.45	6402	13.50
76.75	1437	3.03
77.90	3570	7.53
78.35	1257	2.65
79.25	5193	10.95
80.65	3542	7.47
81.80	3065	6.46
82.55	985	2.08
83.35	943	1.99
83.85	2941	6.20
84.70	1198	2.53
85.70	3357	7.08
86.05	900	1.90
86.80	1551	3.27
88.00	3737	7.88
89.40	2285	4.82
90.70	4687	9.88
91.75	1248	2.63
92.65	2071	4.37
93.55	1005	2.12
94.35	1623	3.42
95.10	792	1.67
95.90	1885	3.97
96.70	767	1.62
97.85	894	1.88
98.65	1435	3.03
99.50	909	1.92
100.25	451	0.95
101.10	2264	4.77
101.70	589	1.24
102.40	1204	2.54
103.20	970	2.05
103.85	746	1.57
105.00	613	1.29
105.50	510	1.08
106.05	592	1.25
106.65	574	1.21
107.50	1081	2.28
108.65	588	1.24
109.55	910	1.92
110.70	1383	2.92
111.55	438	0.92
112.15	4080	8.60
113.95	11	0.02
114.80	73	0.15
115.40	93	0.20
116.50	394	0.83
117.05	230	0.48
117.60	346	0.73
118.10	365	0.77
118.90	849	1.79
119.65	465	0.98
120.20	376	0.79
120.70	441	0.93
121.30	482	1.02
121.85	612	1.29
122.35	372	0.78
122.90	219	0.46
123.50	322	0.68
124.00	322	0.68
124.55	425	0.90
125.20	236	0.50
125.70	333	0.70
126.20	297	0.63
126.85	229	0.48
127.40	421	0.89
127.85	298	0.63
128.45	310	0.65
128.95	251	0.53
129.55	223	0.47
130.15	1445	3.05
131.15	321	0.68
131.70	322	0.68
132.25	98	0.21
132.85	195	0.41
133.35	416	0.88
133.95	204	0.43
134.60	1795	3.78
135.00	265	0.56
135.50	196	0.41
136.15	238	0.50
136.80	1018	2.15
137.20	253	0.53
137.90	1289	2.72
139.40	103	0.22
140.05	191	0.40
140.80	979	2.06
141.55	145	0.31
142.15	219	0.46
142.60	250	0.53
143.20	398	0.84
143.80	207	0.44
144.25	137	0.29
145.00	1170	2.47
145.75	36	0.08
146.75	402	0.85
147.70	224	0.47
148.20	162	0.34
148.70	169	0.36
149.25	89	0.19
149.80	184	0.39
150.40	114	0.24
150.90	106	0.22
151.40	100	0.21
152.05	138	0.29
152.55	198	0.42
153.00	69	0.15
154.20	124	0.26
154.65	108	0.23
155.85	85	0.18
156.45	195	0.41
157.25	156	0.33
158.05	109	0.23
158.60	174	0.37
159.10	82	0.17
159.85	14	0.03
160.70	38	0.08
161.25	201	0.42
161.80	95	0.20
162.40	98	0.21
163.40	169	0.36
164.00	45	0.09
164.65	79	0.17
165.65	47	0.10
166.80	133	0.28
167.65	31	0.07
168.45	106	0.22
169.45	94	0.20
170.10	75	0.16
170.75	785	1.66
171.75	9	0.02
172.55	2	0.00
173.35	60	0.13
173.80	180	0.38
176.60	58	0.12
177.70	115	0.24
178.20	73	0.15
178.85	107	0.23
179.95	58	0.12
180.50	65	0.14
180.90	109	0.23
181.50	73	0.15
182.65	98	0.21
183.15	41	0.09
183.65	202	0.43
184.35	155	0.33
184.85	95	0.20
185.25	32	0.07
186.25	26	0.05
187.40	107	0.23
188.35	7	0.01
189.20	101	0.21
189.65	34	0.07
190.20	204	0.43
191.30	279	0.59
191.85	76	0.16
193.10	61	0.13
193.95	16	0.03
194.65	2311	4.87
195.75	66	0.14
197.00	1865	3.93
198.05	5	0.01
199.05	74	0.16
199.45	83	0.18
200.70	34	0.07
201.10	105	0.22
202.15	37	0.08
203.50	98	0.21
203.80	87	0.18
205.85	44	0.09
206.85	32	0.07
207.85	30	0.06
208.85	408	0.86
209.85	6	0.01
211.05	413	0.87
211.85	26	0.05
212.65	3951	8.33
213.90	752	1.59
214.85	29	0.06
217.55	115	0.24
218.55	31	0.07
220.30	62	0.13
221.25	5	0.01
222.25	15	0.03
223.25	17	0.04
224.25	22	0.05
226.25	66	0.14
227.25	31	0.07
228.25	6	0.01
229.15	38	0.08
230.00	98	0.21
231.05	9	0.02
232.05	15	0.03
233.85	9	0.02
234.70	205	0.43
236.70	1123	2.37
237.75	53	0.11
238.85	86	0.18
239.70	2384	5.03
241.60	101	0.21
242.65	95	0.20
243.65	60	0.13
244.65	24	0.05
245.75	101	0.21
247.10	109	0.23
247.65	131	0.28
248.45	13	0.03
249.20	120	0.25
250.25	8	0.02
251.25	14	0.03
252.25	1	0.00
253.60	118	0.25
254.55	54	0.11
255.65	723	1.52
257.65	9	0.02
258.65	25	0.05
260.70	1529	3.22
261.75	16	0.03
262.75	11	0.02
263.75	9	0.02
264.75	13	0.03
265.75	16	0.03
267.75	43	0.09
269.10	2213	4.67
270.05	37	0.08
272.05	55	0.12
274.70	2625	5.53
277.05	1098	2.32
279.05	24	0.05
281.05	23	0.05
282.05	17	0.04
283.05	25	0.05
284.05	25	0.05
287.05	14	0.03
289.05	3	0.01
292.90	1304	2.75
293.85	5	0.01
298.85	12	0.03
300.85	1	0.00
302.85	43	0.09
304.90	419	0.88
306.70	862	1.82
307.65	779	1.64
308.20	1007	2.12
308.80	147	0.31
310.55	713	1.50
318.55	6	0.01
319.55	1	0.00
321.55	5	0.01
323.45	231	0.49
326.55	1	0.00
329.60	73	0.15
330.05	185	0.39
331.05	8	0.02
332.35	344	0.73
333.35	21	0.04
337.15	2226	4.69
338.25	36	0.08
339.90	110	0.23
340.95	1	0.00
344.80	138	0.29
346.95	14	0.03
347.95	3	0.01
348.95	3	0.01
351.85	37	0.08
352.70	1897	4.00
