[MS Spectrum]
# of Peaks	513
Raw Spectrum	[7.615],(scan:[3047])
Background	No Background Spectrum
Base Peak	m/z 400.75 (Inten : 58,677)
m/z	Absolute Intensity	Relative Intensity
51.65	8	0.01
52.65	94	0.16
53.65	45	0.08
54.65	4	0.01
55.65	16	0.03
56.85	117	0.20
59.15	889	1.52
60.25	23	0.04
61.25	32	0.05
63.05	65	0.11
63.40	34	0.06
64.45	14	0.02
65.45	8	0.01
67.45	27	0.05
70.45	38	0.06
71.45	91	0.16
72.45	31	0.05
73.45	49	0.08
75.15	88	0.15
76.15	40	0.07
79.40	28	0.05
82.85	21375	36.43
84.15	426	0.73
85.15	26	0.04
86.15	9	0.02
87.35	796	1.36
88.60	77	0.13
89.45	30	0.05
91.80	177	0.30
94.55	16	0.03
95.40	32	0.05
95.90	157	0.27
97.45	180	0.31
98.45	78	0.13
99.25	47	0.08
100.00	5974	10.18
101.25	418	0.71
102.05	633	1.08
103.15	9	0.02
104.05	1	0.00
104.95	153	0.26
105.95	23	0.04
106.95	121	0.21
108.05	706	1.20
108.75	121	0.21
109.60	158	0.27
110.75	83	0.14
111.15	86	0.15
112.15	84	0.14
112.95	51	0.09
113.70	196	0.33
115.75	5	0.01
117.15	68	0.12
117.40	62	0.11
118.45	17	0.03
120.45	4	0.01
122.75	10453	17.81
124.40	129	0.22
125.15	11	0.02
126.00	26	0.04
126.35	45	0.08
127.50	207	0.35
128.70	149	0.25
131.10	7210	12.29
131.85	139	0.24
132.65	2027	3.45
133.65	11	0.02
134.65	5	0.01
136.45	129	0.22
138.45	16	0.03
139.70	766	1.31
140.15	432	0.74
141.10	1215	2.07
143.20	366	0.62
144.05	86	0.15
145.10	699	1.19
147.10	136	0.23
148.05	12	0.02
149.30	79	0.13
150.15	354	0.60
152.05	578	0.99
154.00	324	0.55
154.75	637	1.09
155.85	79	0.13
156.85	30	0.05
157.85	32	0.05
160.80	146	0.25
161.75	34	0.06
169.15	52	0.09
170.95	281	0.48
172.30	370	0.63
172.75	932	1.59
173.75	3	0.01
174.65	2	0.00
175.55	125	0.21
176.55	9	0.02
178.10	493	0.84
180.05	45	0.08
182.05	3	0.01
183.05	1	0.00
184.55	137	0.23
185.95	33	0.06
186.85	18	0.03
187.70	70	0.12
188.85	50	0.09
190.85	8	0.01
194.85	4	0.01
196.10	1513	2.58
197.25	385	0.66
198.20	848	1.45
199.10	2977	5.07
201.05	4	0.01
202.05	1	0.00
205.30	103	0.18
206.75	122	0.21
211.95	558	0.95
212.95	42	0.07
213.85	8996	15.33
214.90	980	1.67
216.05	1753	2.99
216.85	62	0.11
217.85	22	0.04
220.40	449	0.77
221.60	54	0.09
222.00	80	0.14
223.05	30	0.05
223.95	32	0.05
224.70	1632	2.78
225.35	153	0.26
226.25	66	0.11
227.80	431	0.73
229.20	615	1.05
230.65	551	0.94
232.55	104	0.18
234.30	106	0.18
236.85	113	0.19
239.00	400	0.68
240.15	1013	1.73
240.75	749	1.28
241.30	252	0.43
242.25	15	0.03
243.25	8	0.01
246.15	21	0.04
248.15	5	0.01
249.30	27	0.05
250.35	1	0.00
252.35	26	0.04
254.80	5352	9.12
255.25	1061	1.81
256.00	1561	2.66
257.05	26	0.04
258.05	2	0.00
259.70	124	0.21
261.10	45	0.08
262.05	2	0.00
262.85	1607	2.74
263.85	9	0.02
264.85	25	0.04
266.85	11	0.02
268.85	142	0.24
270.20	81	0.14
273.35	84	0.14
275.35	7	0.01
276.35	8	0.01
277.40	59	0.10
278.75	104	0.18
279.75	14	0.02
280.75	59	0.10
282.30	166	0.28
283.40	51	0.09
284.25	1	0.00
285.10	86	0.15
285.50	78	0.13
286.60	83	0.14
289.65	2	0.00
295.55	1286	2.19
296.55	17	0.03
300.90	54	0.09
302.25	64	0.11
303.10	78	0.13
305.05	6	0.01
308.05	17	0.03
309.05	7	0.01
312.05	9	0.02
315.05	6	0.01
317.05	5	0.01
318.05	2	0.00
319.00	1475	2.51
321.05	24	0.04
322.20	74	0.13
324.10	1231	2.10
325.05	92	0.16
326.15	27138	46.25
327.25	3478	5.93
328.35	310	0.53
328.85	144	0.25
332.75	203	0.35
333.35	41	0.07
335.35	49	0.08
337.35	10	0.02
338.95	629	1.07
339.75	10	0.02
340.55	1159	1.98
342.55	1980	3.37
343.10	795	1.35
344.30	1563	2.66
345.50	1680	2.86
346.10	88	0.15
346.60	87	0.15
349.35	1073	1.83
351.25	22	0.04
352.15	16337	27.84
353.15	1824	3.11
354.00	85	0.14
355.15	1337	2.28
357.05	5	0.01
357.85	564	0.96
358.75	31	0.05
359.65	969	1.65
360.65	6	0.01
362.65	877	1.49
363.10	917	1.56
364.05	7	0.01
365.30	165	0.28
367.35	82	0.14
367.85	148	0.25
368.90	810	1.38
370.40	44	0.07
370.75	87	0.15
373.35	498	0.85
374.35	9	0.02
375.20	389	0.66
377.00	44	0.07
379.75	39	0.07
380.75	70	0.12
382.15	1185	2.02
382.80	613	1.04
385.25	379	0.65
385.95	3	0.01
386.90	796	1.36
388.05	22	0.04
388.70	71	0.12
389.95	88	0.15
392.55	57	0.10
394.15	26	0.04
394.55	27	0.05
395.80	284	0.48
396.45	1036	1.77
397.75	44451	75.76
398.90	36675	62.50
399.70	45814	78.08
400.75	58677	100.00
401.85	3369	5.74
402.30	1579	2.69
404.80	94	0.16
405.55	7	0.01
406.30	1113	1.90
407.35	77	0.13
408.40	383	0.65
409.45	1	0.00
412.70	78	0.13
413.65	40	0.07
415.60	873	1.49
418.10	803	1.37
418.65	107	0.18
420.65	23	0.04
422.65	19	0.03
424.95	272	0.46
427.30	382	0.65
429.10	120	0.20
432.50	96	0.16
433.55	1	0.00
434.50	372	0.63
436.60	82	0.14
439.30	1161	1.98
439.90	2629	4.48
440.65	1640	2.79
442.05	6934	11.82
443.10	2329	3.97
444.00	179	0.31
445.25	2949	5.03
446.25	6	0.01
448.05	2387	4.07
448.45	1663	2.83
449.50	636	1.08
449.90	996	1.70
450.80	46	0.08
451.95	98	0.17
452.60	574	0.98
453.45	93	0.16
454.65	181	0.31
456.15	254	0.43
457.75	126	0.21
459.40	184	0.31
459.75	28	0.05
460.25	113	0.19
462.20	3612	6.16
463.15	314	0.54
463.60	430	0.73
464.45	486	0.83
466.50	890	1.52
467.45	12	0.02
468.45	1	0.00
469.45	16	0.03
472.95	23	0.04
473.95	22	0.04
475.25	526	0.90
479.05	13	0.02
479.90	22	0.04
481.85	1	0.00
483.15	461	0.79
484.90	58	0.10
486.00	1943	3.31
487.25	233	0.40
488.25	1	0.00
490.25	40	0.07
491.25	28	0.05
493.25	38	0.06
495.15	112	0.19
497.80	96	0.16
498.65	1	0.00
499.45	62	0.11
499.85	73	0.12
501.40	440	0.75
504.00	287	0.49
506.30	2233	3.81
507.25	232	0.40
510.25	4	0.01
511.55	110	0.19
516.55	2	0.00
517.45	77	0.13
517.95	415	0.71
518.95	9	0.02
