[MS Spectrum]
# of Peaks	735
Raw Spectrum	[7.617],(scan:[3048])
Background	No Background Spectrum
Base Peak	m/z 54.10 (Inten : 52,650)
m/z	Absolute Intensity	Relative Intensity
51.65	612	1.16
52.65	4298	8.16
53.55	6222	11.82
54.10	52650	100.00
56.85	34856	66.20
56.95	5149	9.78
57.75	4331	8.23
58.90	8933	16.97
60.00	7133	13.55
61.00	5089	9.67
62.10	5721	10.87
63.20	5675	10.78
64.25	5354	10.17
64.85	2169	4.12
66.00	8555	16.25
66.85	2238	4.25
67.80	7457	14.16
68.85	2102	3.99
69.20	8076	15.34
70.45	4890	9.29
71.60	4926	9.36
72.65	4427	8.41
73.95	2383	4.53
74.70	3623	6.88
75.45	2294	4.36
76.30	3996	7.59
77.55	4622	8.78
78.95	3292	6.25
79.75	1483	2.82
80.60	3131	5.95
81.80	1390	2.64
82.35	1715	3.26
83.15	3577	6.79
83.95	904	1.72
84.50	1524	2.89
85.00	1300	2.47
85.50	1112	2.11
86.05	1435	2.73
86.60	1072	2.04
87.65	1550	2.94
88.20	1109	2.11
89.25	1393	2.65
89.80	966	1.83
90.35	946	1.80
90.80	1086	2.06
91.30	1004	1.91
91.85	1252	2.38
92.40	988	1.88
92.90	763	1.45
93.50	918	1.74
94.00	802	1.52
94.45	580	1.10
95.00	1262	2.40
95.55	698	1.33
96.05	991	1.88
96.60	884	1.68
97.10	862	1.64
97.65	871	1.65
98.20	744	1.41
98.70	804	1.53
99.25	1017	1.93
99.80	863	1.64
100.30	714	1.36
100.80	594	1.13
101.40	749	1.42
101.85	500	0.95
102.35	858	1.63
102.90	530	1.01
103.45	527	1.00
103.95	742	1.41
104.60	871	1.65
105.05	534	1.01
105.55	680	1.29
106.05	466	0.89
106.65	512	0.97
107.15	802	1.52
107.70	491	0.93
108.25	509	0.97
108.70	583	1.11
109.25	733	1.39
110.25	775	1.47
110.75	426	0.81
111.35	279	0.53
112.45	6350	12.06
113.30	927	1.76
113.95	382	0.73
114.60	440	0.84
115.05	289	0.55
115.65	381	0.72
116.15	571	1.08
117.20	380	0.72
117.75	428	0.81
119.10	960	1.82
119.80	547	1.04
120.30	259	0.49
120.95	436	0.83
121.40	471	0.89
121.95	479	0.91
122.95	730	1.39
123.55	458	0.87
124.00	149	0.28
124.45	443	0.84
125.10	271	0.51
125.75	343	0.65
126.10	189	0.36
127.05	632	1.20
127.70	259	0.49
128.40	202	0.38
129.05	898	1.71
129.85	318	0.60
130.30	328	0.62
130.90	135	0.26
131.40	178	0.34
132.00	165	0.31
132.55	479	0.91
133.05	200	0.38
133.50	278	0.53
134.00	543	1.03
134.60	294	0.56
135.50	601	1.14
136.15	222	0.42
136.80	213	0.40
137.20	288	0.55
137.75	221	0.42
138.35	603	1.15
138.85	118	0.22
139.90	354	0.67
141.00	381	0.72
141.45	231	0.44
141.90	275	0.52
142.45	160	0.30
142.95	313	0.59
143.55	45	0.09
144.10	213	0.40
144.50	166	0.32
145.10	259	0.49
145.70	175	0.33
146.15	371	0.70
146.60	150	0.28
147.30	219	0.42
147.75	169	0.32
148.20	248	0.47
148.85	68	0.13
149.30	404	0.77
149.90	101	0.19
150.45	277	0.53
150.90	212	0.40
152.45	248	0.47
152.90	39	0.07
153.40	171	0.32
