[MS Spectrum]
# of Peaks	690
Raw Spectrum	[7.655],(scan:[3063])
Background	No Background Spectrum
Base Peak	m/z 469.30 (Inten : 20,516)
m/z	Absolute Intensity	Relative Intensity
50.65	2	0.01
51.65	49	0.24
52.65	4	0.02
53.65	50	0.24
54.45	28	0.14
55.20	97	0.47
56.25	52	0.25
58.15	5	0.02
58.95	164	0.80
59.30	334	1.63
59.90	205	1.00
60.45	303	1.48
60.95	243	1.18
61.50	123	0.60
62.05	212	1.03
62.50	206	1.00
63.05	111	0.54
64.15	152	0.74
65.15	21	0.10
66.15	1	0.00
67.15	64	0.31
69.15	21	0.10
70.15	44	0.21
72.15	10	0.05
73.45	151	0.74
75.00	233	1.14
76.15	139	0.68
77.30	160	0.78
77.70	274	1.34
78.75	80	0.39
79.75	57	0.28
81.75	9	0.04
82.55	1996	9.73
83.20	19222	93.69
84.25	7	0.03
85.05	925	4.51
85.85	18	0.09
86.70	216	1.05
87.20	111	0.54
87.70	147	0.72
88.25	62	0.30
88.75	203	0.99
89.25	250	1.22
90.35	126	0.61
90.85	358	1.74
92.50	116	0.57
92.85	151	0.74
93.85	33	0.16
95.05	194	0.95
97.05	39	0.19
98.05	6	0.03
99.05	15	0.07
100.25	172	0.84
101.05	22	0.11
101.80	107	0.52
102.95	126	0.61
104.45	105	0.51
106.45	14	0.07
107.45	44	0.21
109.45	6	0.03
110.45	5	0.02
111.35	64	0.31
112.25	316	1.54
113.35	86	0.42
113.75	99	0.48
115.00	79	0.39
115.35	92	0.45
116.35	60	0.29
117.35	2	0.01
118.35	21	0.10
119.75	333	1.62
120.65	2	0.01
122.65	51	0.25
123.65	66	0.32
124.65	81	0.39
125.85	12999	63.36
127.15	1021	4.98
128.65	461	2.25
129.45	282	1.37
130.10	244	1.19
130.85	17	0.08
131.65	128	0.62
132.65	75	0.37
133.65	21	0.10
135.00	3300	16.09
135.90	613	2.99
136.30	97	0.47
137.25	13	0.06
138.25	13	0.06
139.25	10	0.05
141.25	29	0.14
143.70	1309	6.38
144.20	60	0.29
145.35	128	0.62
146.35	36	0.18
147.60	168	0.82
148.55	5	0.02
149.55	48	0.23
151.55	59	0.29
152.75	641	3.12
153.55	6	0.03
154.35	88	0.43
155.70	122	0.59
157.90	40	0.19
158.50	51	0.25
158.80	41	0.20
159.85	22	0.11
160.75	4	0.02
161.75	348	1.70
164.65	22	0.11
165.65	15	0.07
166.55	14	0.07
167.30	62	0.30
168.45	126	0.61
169.10	319	1.55
169.90	855	4.17
170.55	26	0.13
171.25	549	2.68
172.25	16	0.08
174.95	1017	4.96
176.30	187	0.91
179.80	1127	5.49
181.75	9	0.04
183.50	238	1.16
184.05	125	0.61
185.40	575	2.80
186.05	253	1.23
187.00	131	0.64
187.75	353	1.72
189.75	17	0.08
191.75	9	0.04
192.75	1	0.00
194.05	739	3.60
195.05	13	0.06
196.20	117	0.57
197.75	48	0.23
198.70	97	0.47
200.75	47	0.23
201.75	14	0.07
203.45	112	0.55
203.95	60	0.29
205.95	64	0.31
207.95	37	0.18
208.95	128	0.62
209.95	4	0.02
211.30	62	0.30
212.80	1858	9.06
213.80	753	3.67
215.15	1052	5.13
216.15	4	0.02
218.70	201	0.98
219.65	47	0.23
221.15	796	3.88
222.90	196	0.96
225.00	677	3.30
225.90	104	0.51
226.35	68	0.33
227.15	9	0.04
228.00	78	0.38
228.50	62	0.30
229.75	1166	5.68
232.65	152	0.74
233.65	12	0.06
234.65	26	0.13
235.65	5	0.02
236.65	19	0.09
237.65	9	0.04
239.10	629	3.07
241.50	41	0.20
242.45	37	0.18
243.40	1138	5.55
244.10	77	0.38
244.65	86	0.42
245.30	591	2.88
245.80	622	3.03
246.75	40	0.19
248.05	692	3.37
248.70	338	1.65
249.65	1	0.00
250.65	11	0.05
251.75	343	1.67
252.75	18	0.09
253.75	12	0.06
255.00	2994	14.59
256.95	5	0.02
257.95	15	0.07
258.95	5	0.02
260.80	140	0.68
261.65	6	0.03
262.45	143	0.70
263.10	104	0.51
264.75	1370	6.68
265.60	1041	5.07
266.55	463	2.26
267.35	4	0.02
268.10	780	3.80
269.05	20	0.10
269.80	66	0.32
271.35	18942	92.33
272.05	3955	19.28
273.20	287	1.40
277.25	38	0.19
279.00	472	2.30
279.45	275	1.34
280.25	232	1.13
281.00	3446	16.80
281.80	1330	6.48
282.70	433	2.11
283.40	140	0.68
283.90	106	0.52
284.45	83	0.40
285.10	1430	6.97
286.00	49	0.24
286.60	1146	5.59
287.65	42	0.20
288.65	50	0.24
290.35	218	1.06
291.35	2	0.01
293.40	96	0.47
294.35	21	0.10
295.35	62	0.30
296.80	2745	13.38
298.75	915	4.46
299.80	1403	6.84
300.75	25	0.12
302.70	61	0.30
303.45	279	1.36
304.75	67	0.33
305.75	85	0.41
307.75	2	0.01
308.75	2	0.01
309.80	7309	35.63
310.75	14	0.07
311.60	70	0.34
312.05	389	1.90
312.55	45	0.22
314.00	1628	7.94
314.85	1552	7.56
316.85	2	0.01
317.65	133	0.65
319.25	2767	13.49
322.20	201	0.98
323.00	670	3.27
323.60	90	0.44
324.80	1042	5.08
326.05	11534	56.22
327.35	3672	17.90
328.20	1098	5.35
330.40	1746	8.51
331.25	38	0.19
332.25	8458	41.23
333.40	2125	10.36
334.10	187	0.91
334.55	38	0.19
335.65	135	0.66
336.45	10	0.05
337.20	76	0.37
338.25	17	0.08
339.70	321	1.56
340.90	574	2.80
343.05	336	1.64
346.05	11	0.05
347.55	1053	5.13
348.45	1	0.00
349.25	112	0.55
350.25	41	0.20
351.80	5342	26.04
352.25	3294	16.06
353.30	2740	13.36
354.30	636	3.10
355.45	1297	6.32
356.60	385	1.88
357.25	2235	10.89
358.25	52	0.25
361.25	44	0.21
362.05	6	0.03
362.90	248	1.21
363.85	27	0.13
365.35	298	1.45
366.30	840	4.09
367.25	14	0.07
368.15	70	0.34
368.95	5206	25.38
370.25	102	0.50
371.00	294	1.43
371.95	10	0.05
373.95	67	0.33
374.85	109	0.53
376.10	687	3.35
377.15	8	0.04
379.00	642	3.13
380.00	299	1.46
380.75	128	0.62
382.05	957	4.66
383.10	580	2.83
384.05	9	0.04
385.05	95	0.46
387.05	4380	21.35
388.00	1768	8.62
388.45	1486	7.24
389.20	3448	16.81
390.40	1442	7.03
391.30	9551	46.55
392.25	258	1.26
394.60	155	0.76
395.45	1316	6.41
396.20	1415	6.90
396.75	462	2.25
398.00	1161	5.66
399.00	84	0.41
399.90	42	0.20
400.85	54	0.26
403.15	75	0.37
404.10	2264	11.04
404.95	3092	15.07
405.95	10	0.05
409.10	3182	15.51
410.00	527	2.57
410.65	564	2.75
411.50	682	3.32
412.15	2076	10.12
413.15	6	0.03
414.15	266	1.30
415.05	3154	15.37
416.55	962	4.69
417.55	6	0.03
418.80	1105	5.39
419.65	9	0.04
420.60	166	0.81
421.05	127	0.62
422.60	172	0.84
423.25	809	3.94
424.05	11	0.05
424.90	4152	20.24
425.70	98	0.48
427.85	547	2.67
428.45	49	0.24
428.75	85	0.41
430.30	843	4.11
431.15	42	0.20
432.00	1042	5.08
433.05	2082	10.15
434.05	73	0.36
435.05	37	0.18
436.30	562	2.74
437.10	803	3.91
437.85	173	0.84
438.85	53	0.26
440.40	937	4.57
441.35	16	0.08
442.35	10	0.05
443.35	12	0.06
444.30	553	2.70
445.55	772	3.76
446.40	1681	8.19
447.10	348	1.70
448.10	711	3.47
449.05	5	0.02
450.05	1453	7.08
450.85	85	0.41
451.40	975	4.75
452.35	1994	9.72
453.15	2136	10.41
454.00	2016	9.83
454.55	2585	12.60
455.20	78	0.38
456.15	111	0.54
457.25	350	1.71
458.05	380	1.85
459.80	2771	13.51
460.30	1282	6.25
461.05	55	0.27
461.90	2706	13.19
462.85	3123	15.22
463.45	2761	13.46
464.40	335	1.63
464.75	347	1.69
465.60	800	3.90
465.95	1138	5.55
467.10	542	2.64
469.30	20516	100.00
470.40	1249	6.09
471.20	5252	25.60
471.95	4044	19.71
472.75	4545	22.15
473.35	1460	7.12
474.05	1659	8.09
475.10	1043	5.08
475.95	661	3.22
476.55	149	0.73
477.90	223	1.09
478.70	7078	34.50
480.05	781	3.81
481.20	64	0.31
482.25	134	0.65
483.75	462	2.25
485.75	13	0.06
486.75	6	0.03
488.05	1374	6.70
489.20	959	4.67
489.85	3610	17.60
491.70	707	3.45
493.20	2444	11.91
493.70	173	0.84
494.75	46	0.22
496.65	51	0.25
497.50	710	3.46
498.55	90	0.44
499.55	57	0.28
500.55	86	0.42
501.50	173	0.84
503.05	3594	17.52
504.05	8	0.04
505.30	633	3.09
505.85	300	1.46
507.25	1598	7.79
508.35	31	0.15
509.85	1501	7.32
511.05	427	2.08
512.05	3245	15.82
512.45	2091	10.19
513.20	1149	5.60
514.00	789	3.85
514.95	512	2.50
515.85	45	0.22
517.55	1745	8.51
518.80	573	2.79
519.40	818	3.99
519.90	472	2.30
520.45	854	4.16
521.05	204	0.99
522.25	1506	7.34
523.55	2292	11.17
524.00	742	3.62
524.55	88	0.43
525.50	130	0.63
526.10	391	1.91
527.05	843	4.11
528.25	170	0.83
529.65	947	4.62
530.65	5	0.02
533.65	8	0.04
537.05	5870	28.61
537.65	1384	6.75
538.80	1317	6.42
539.40	41	0.20
539.85	96	0.47
541.85	2	0.01
542.85	48	0.23
543.85	8	0.04
545.55	1590	7.75
546.15	434	2.12
547.15	30	0.15
548.30	132	0.64
549.15	22	0.11
550.00	1465	7.14
551.00	1526	7.44
551.90	2025	9.87
552.65	805	3.92
553.10	632	3.08
554.05	29	0.14
555.05	48	0.23
556.05	10	0.05
559.25	106	0.52
560.25	10	0.05
561.25	11	0.05
562.25	28	0.14
564.25	1	0.00
565.25	8	0.04
566.25	36	0.18
568.25	97	0.47
568.80	3378	16.47
570.00	644	3.14
570.95	23	0.11
571.95	2	0.01
572.95	22	0.11
573.95	6	0.03
575.45	234	1.14
576.90	144	0.70
578.35	285	1.39
