[MS Spectrum]
# of Peaks	741
Raw Spectrum	[7.657],(scan:[3064])
Background	No Background Spectrum
Base Peak	m/z 585.55 (Inten : 63,384)
m/z	Absolute Intensity	Relative Intensity
51.00	31443	49.61
51.95	2870	4.53
52.95	5785	9.13
53.60	46388	73.19
55.45	16149	25.48
56.45	13730	21.66
57.90	19920	31.43
58.05	3732	5.89
59.60	7574	11.95
60.60	5474	8.64
61.65	6327	9.98
62.35	2127	3.36
63.15	2097	3.31
64.15	11149	17.59
64.95	2002	3.16
65.80	6695	10.56
67.60	10385	16.38
68.35	2085	3.29
69.30	8054	12.71
70.55	5299	8.36
71.85	7070	11.15
73.15	4188	6.61
73.75	1561	2.46
74.45	6228	9.83
75.45	1434	2.26
76.00	5758	9.08
77.85	4156	6.56
78.70	1751	2.76
79.45	3047	4.81
80.70	4311	6.80
81.25	1096	1.73
82.20	4380	6.91
83.80	4729	7.46
85.15	2301	3.63
86.05	911	1.44
86.70	4892	7.72
88.25	2094	3.30
89.40	2514	3.97
90.95	2584	4.08
91.45	766	1.21
92.20	2728	4.30
93.65	3528	5.57
94.95	1595	2.52
95.60	836	1.32
96.15	916	1.45
96.95	478	0.75
97.60	2781	4.39
98.85	287	0.45
99.80	2739	4.32
101.05	1238	1.95
102.00	1488	2.35
103.15	811	1.28
103.90	1125	1.77
105.05	1645	2.60
106.25	444	0.70
107.45	2283	3.60
108.25	376	0.59
109.10	1749	2.76
109.95	207	0.33
110.75	1085	1.71
111.40	295	0.47
112.25	423	0.67
113.00	1112	1.75
113.75	663	1.05
114.45	1000	1.58
115.10	571	0.90
116.05	1197	1.89
117.40	602	0.95
117.90	405	0.64
118.45	426	0.67
119.50	1388	2.19
120.60	727	1.15
121.55	124	0.20
122.10	302	0.48
122.60	228	0.36
123.10	237	0.37
124.25	1104	1.74
125.15	402	0.63
125.65	197	0.31
126.30	285	0.45
126.80	408	0.64
127.55	802	1.27
128.60	791	1.25
129.50	886	1.40
130.45	235	0.37
131.45	404	0.64
132.00	251	0.40
132.50	269	0.42
133.10	420	0.66
133.50	256	0.40
134.05	332	0.52
134.60	316	0.50
135.60	459	0.72
136.25	423	0.67
136.65	310	0.49
137.25	314	0.50
137.70	340	0.54
138.20	320	0.50
138.75	392	0.62
139.30	219	0.35
139.90	231	0.36
140.35	481	0.76
140.90	273	0.43
141.40	228	0.36
141.90	147	0.23
142.40	213	0.34
143.55	190	0.30
144.05	316	0.50
144.55	385	0.61
145.05	207	0.33
145.75	455	0.72
146.15	342	0.54
146.65	289	0.46
147.05	214	0.34
147.75	178	0.28
148.20	236	0.37
148.65	175	0.28
149.25	190	0.30
150.25	365	0.58
150.75	232	0.37
151.35	414	0.65
152.35	123	0.19
153.15	3	0.00
153.95	263	0.41
154.45	159	0.25
155.10	185	0.29
155.55	514	0.81
155.95	91	0.14
156.65	161	0.25
157.65	122	0.19
158.25	375	0.59
158.65	423	0.67
159.20	78	0.12
159.75	194	0.31
160.30	214	0.34
160.85	196	0.31
161.30	319	0.50
162.35	198	0.31
162.95	131	0.21
163.35	74	0.12
163.85	82	0.13
164.45	162	0.26
165.00	178	0.28
165.45	90	0.14
166.05	158	0.25
166.50	222	0.35
167.15	147	0.23
167.55	176	0.28
168.65	83	0.13
169.15	119	0.19
169.70	110	0.17
170.20	112	0.18
170.75	127	0.20
171.30	554	0.87
171.75	217	0.34
172.85	284	0.45
173.35	157	0.25
173.75	133	0.21
174.65	21	0.03
175.40	182	0.29
176.50	100	0.16
177.05	170	0.27
178.10	98	0.15
178.60	154	0.24
179.10	192	0.30
180.15	193	0.30
181.20	192	0.30
181.70	131	0.21
182.30	461	0.73
182.75	273	0.43
183.20	97	0.15
184.20	551	0.87
184.80	123	0.19
185.40	162	0.26
185.90	102	0.16
186.40	73	0.12
187.40	68	0.11
188.00	120	0.19
188.50	106	0.17
189.05	96	0.15
189.60	198	0.31
190.10	184	0.29
191.30	139	0.22
191.65	209	0.33
192.65	128	0.20
193.25	195	0.31
193.75	335	0.53
194.25	110	0.17
194.80	88	0.14
195.75	80	0.13
196.40	253	0.40
197.40	305	0.48
198.50	62	0.10
199.00	116	0.18
199.60	173	0.27
200.00	265	0.42
201.05	43	0.07
202.15	95	0.15
202.95	9	0.01
203.70	113	0.18
204.70	59	0.09
205.25	117	0.18
205.85	53	0.08
206.40	199	0.31
207.15	3	0.00
207.95	131	0.21
208.40	80	0.13
209.50	78	0.12
210.45	696	1.10
211.05	190	0.30
212.30	252	0.40
212.60	156	0.25
213.25	136	0.21
214.25	39	0.06
215.25	88	0.14
216.25	31	0.05
217.35	84	0.13
218.45	125	0.20
219.25	23	0.04
220.10	75	0.12
220.60	145	0.23
221.15	234	0.37
221.55	231	0.36
222.80	529	0.83
224.75	55	0.09
226.15	495	0.78
227.55	167	0.26
227.85	77	0.12
229.20	254	0.40
230.15	57	0.09
231.15	24	0.04
232.35	587	0.93
233.25	9	0.01
234.05	16	0.03
234.90	142	0.22
235.20	117	0.18
235.85	77	0.12
236.30	378	0.60
237.35	17	0.03
238.35	6	0.01
239.60	194	0.31
240.65	61	0.10
241.65	8	0.01
242.70	90	0.14
243.15	226	0.36
243.65	69	0.11
244.45	34	0.05
245.30	63	0.10
245.85	338	0.53
246.30	75	0.12
247.35	27	0.04
248.45	70	0.11
249.15	208	0.33
250.05	106	0.17
251.05	109	0.17
252.15	203	0.32
252.65	58	0.09
253.15	79	0.12
254.20	115	0.18
254.70	146	0.23
255.80	172	0.27
256.85	147	0.23
258.90	99	0.16
259.85	6	0.01
261.10	57	0.09
261.45	93	0.15
262.45	181	0.29
263.15	116	0.18
263.65	178	0.28
264.05	266	0.42
265.05	50	0.08
266.25	141	0.22
266.70	150	0.24
267.75	49	0.08
268.65	8	0.01
269.50	135	0.21
269.85	144	0.23
270.40	134	0.21
271.45	17	0.03
272.55	136	0.21
273.70	127	0.20
274.05	150	0.24
274.85	3	0.00
275.60	166	0.26
278.65	32	0.05
279.55	14	0.02
280.50	85	0.13
280.80	62	0.10
281.65	260	0.41
282.80	444	0.70
283.55	72	0.11
285.55	18	0.03
286.45	30	0.05
287.30	75	0.12
288.25	5	0.01
289.25	44	0.07
290.25	3	0.00
291.15	5	0.01
291.95	176	0.28
292.85	43	0.07
293.70	56	0.09
295.05	247	0.39
296.95	6	0.01
297.70	57	0.09
299.30	263	0.41
301.25	64	0.10
302.50	318	0.50
304.45	9	0.01
305.25	10	0.02
306.10	84	0.13
306.95	27	0.04
307.75	65	0.10
308.20	101	0.16
309.15	37	0.06
310.15	77	0.12
311.15	63	0.10
312.15	11	0.02
313.05	47	0.07
314.00	165	0.26
314.95	6	0.01
315.95	99	0.16
317.60	115	0.18
318.65	427	0.67
320.20	68	0.11
320.70	45	0.07
321.45	9	0.01
322.25	150	0.24
324.40	295	0.47
325.25	69	0.11
326.55	92	0.15
328.05	7984	12.60
331.05	25	0.04
332.20	96	0.15
332.80	58	0.09
333.90	151	0.24
334.85	6	0.01
335.85	9	0.01
336.95	101	0.16
338.05	84	0.13
338.65	217	0.34
340.15	72	0.11
340.60	171	0.27
342.80	205	0.32
343.20	122	0.19
344.25	41	0.06
347.25	6	0.01
349.15	237	0.37
350.50	318	0.50
353.35	118	0.19
354.10	4601	7.26
354.75	2423	3.82
355.80	48	0.08
356.30	32	0.05
357.20	54	0.09
357.85	104	0.16
358.85	8	0.01
359.65	35	0.06
360.50	143	0.23
362.25	1	0.00
363.05	52	0.08
364.05	7	0.01
365.25	56	0.09
365.75	175	0.28
367.15	244	0.38
368.30	88	0.14
369.70	36	0.06
371.80	24	0.04
372.85	7	0.01
374.85	8	0.01
376.00	117	0.18
377.95	20	0.03
378.80	194	0.31
379.20	82	0.13
380.30	206	0.33
381.25	24	0.04
382.45	322	0.51
385.35	10	0.02
386.15	268	0.42
386.80	390	0.62
388.15	403	0.64
390.20	41	0.06
391.15	28	0.04
391.95	1	0.00
392.75	62	0.10
393.75	2	0.00
394.75	7239	11.42
395.55	47512	74.96
396.55	35	0.06
398.55	49	0.08
399.55	33	0.05
400.45	1	0.00
401.20	91	0.14
401.70	65	0.10
402.75	28	0.04
403.55	11	0.02
404.40	214	0.34
404.85	47	0.07
406.10	233	0.37
407.60	270	0.43
407.95	66	0.10
409.10	77	0.12
409.55	20	0.03
410.65	141	0.22
412.65	2	0.00
413.65	62	0.10
415.30	112	0.18
415.80	57	0.09
417.85	6	0.01
418.85	25	0.04
419.95	59	0.09
420.55	132	0.21
421.10	113	0.18
422.20	76	0.12
423.10	401	0.63
425.15	41	0.06
426.05	5	0.01
426.85	131	0.21
427.85	115	0.18
429.00	209	0.33
430.95	47	0.07
431.95	107	0.17
433.15	180	0.28
434.15	16	0.03
435.15	31	0.05
436.30	69	0.11
436.75	97	0.15
438.55	19	0.03
439.40	107	0.17
440.35	75	0.12
442.10	35	0.06
442.80	352	0.56
443.95	171	0.27
446.05	5	0.01
447.05	8	0.01
448.05	29	0.05
449.05	18	0.03
450.35	160	0.25
452.45	111	0.18
452.95	25	0.04
454.55	105	0.17
455.65	290	0.46
457.10	64	0.10
458.05	2	0.00
461.05	4	0.01
461.90	39	0.06
462.95	44	0.07
463.95	7	0.01
466.40	349	0.55
467.70	74	0.12
469.10	240	0.38
470.15	67	0.11
471.80	97	0.15
473.70	363	0.57
476.20	205	0.32
478.95	472	0.74
479.40	145	0.23
480.05	80	0.13
481.05	3	0.00
482.15	76	0.12
482.95	5	0.01
483.75	127	0.20
484.25	59	0.09
484.65	21	0.03
485.70	146	0.23
486.65	2	0.00
487.65	9	0.01
488.55	10	0.02
489.40	90	0.14
490.50	122	0.19
491.00	104	0.16
493.60	96	0.15
494.10	145	0.23
495.15	4	0.01
496.15	6	0.01
497.30	96	0.15
498.05	2	0.00
498.80	82	0.13
499.85	2	0.00
500.85	61	0.10
501.85	61	0.10
502.85	40	0.06
503.85	19	0.03
505.15	99	0.16
506.75	173	0.27
507.15	67	0.11
508.15	98	0.15
509.15	17	0.03
510.05	2	0.00
510.95	104	0.16
511.30	62	0.10
514.55	105	0.17
515.00	124	0.20
515.95	58	0.09
516.95	51	0.08
518.95	20	0.03
519.95	29	0.05
520.95	14	0.02
521.95	3	0.00
522.95	45	0.07
524.50	82	0.13
525.45	38	0.06
526.35	30	0.05
527.15	145	0.23
527.60	195	0.31
528.45	35	0.06
529.25	256	0.40
530.25	41	0.06
531.25	25	0.04
532.25	22	0.03
533.70	539	0.85
536.60	75	0.12
536.95	67	0.11
537.95	27	0.04
539.25	167	0.26
539.60	81	0.13
540.45	1	0.00
541.25	125	0.20
542.25	15	0.02
543.05	10	0.02
543.85	215	0.34
544.25	218	0.34
545.35	60	0.09
546.25	9	0.01
547.15	60	0.09
548.15	47	0.07
548.55	81	0.13
550.45	7	0.01
551.30	179	0.28
551.65	187	0.30
553.30	115	0.18
554.40	148	0.23
556.00	62	0.10
556.75	39	0.06
557.55	116	0.18
557.95	62	0.10
558.95	15	0.02
559.95	31	0.05
560.95	10	0.02
562.95	6	0.01
563.85	88	0.14
564.85	102	0.16
565.85	147	0.23
566.25	32	0.05
567.25	11	0.02
568.25	1	0.00
570.15	18	0.03
571.05	120	0.19
572.05	49	0.08
573.55	214	0.34
574.55	10	0.02
576.55	31	0.05
578.55	33	0.05
579.55	17	0.03
580.50	124	0.20
581.80	488	0.77
582.75	13	0.02
583.75	8	0.01
584.60	311	0.49
585.55	63384	100.00
586.00	5642	8.90
588.50	2233	3.52
589.55	18	0.03
590.55	27	0.04
591.45	195	0.31
592.45	5	0.01
593.45	44	0.07
594.45	34	0.05
595.55	102	0.16
596.55	55	0.09
597.55	24	0.04
598.55	7	0.01
599.55	1	0.00
600.85	179	0.28
601.65	4	0.01
602.45	155	0.24
602.85	189	0.30
603.50	143	0.23
603.85	179	0.28
606.75	33	0.05
607.65	102	0.16
611.75	92	0.15
613.65	9	0.01
614.60	198	0.31
616.50	39	0.06
617.05	86	0.14
619.05	58	0.09
620.05	7	0.01
621.05	23	0.04
622.05	20	0.03
623.05	9	0.01
624.60	446	0.70
626.50	83	0.13
627.00	120	0.19
627.95	5	0.01
628.95	31	0.05
629.95	2	0.00
630.95	22	0.03
631.85	2	0.00
632.70	179	0.28
633.75	29	0.05
635.25	143	0.23
636.05	9	0.01
636.90	60	0.09
637.40	88	0.14
639.45	15	0.02
640.45	7	0.01
641.45	13	0.02
642.45	12	0.02
643.45	5	0.01
644.45	10	0.02
647.35	161	0.25
648.95	116	0.18
649.35	75	0.12
650.00	216	0.34
652.05	75	0.12
655.05	29	0.05
656.05	17	0.03
657.05	16	0.03
658.05	24	0.04
659.30	307	0.48
660.15	2	0.00
661.00	73	0.12
661.40	100	0.16
662.50	52	0.08
664.10	84	0.13
666.05	13	0.02
667.05	18	0.03
667.95	13	0.02
668.80	62	0.10
669.85	50	0.08
670.85	34	0.05
671.85	33	0.05
672.85	37	0.06
673.85	1	0.00
674.85	6	0.01
675.85	14	0.02
677.15	139	0.22
677.80	179	0.28
679.30	88	0.14
680.35	95	0.15
681.35	76	0.12
682.25	143	0.23
684.65	88	0.14
685.05	37	0.06
686.60	39	0.06
689.55	6	0.01
690.90	122	0.19
691.20	119	0.19
693.65	42	0.07
694.55	104	0.16
696.35	1	0.00
697.15	130	0.21
698.15	25	0.04
699.65	181	0.29
700.40	228	0.36
701.35	69	0.11
703.05	51	0.08
703.85	7	0.01
704.85	27	0.04
706.25	118	0.19
707.30	192	0.30
708.50	374	0.59
709.25	95	0.15
710.25	1	0.00
712.35	371	0.59
713.70	56	0.09
715.20	117	0.18
716.55	25	0.04
717.15	142	0.22
719.80	74	0.12
720.85	25	0.04
721.70	54	0.09
722.40	122	0.19
724.35	31	0.05
726.25	14	0.02
727.10	79	0.12
