[MS Spectrum]
# of Peaks	662
Raw Spectrum	[7.115],(scan:[2847])
Background	No Background Spectrum
Base Peak	m/z 125.90 (Inten : 73,331)
m/z	Absolute Intensity	Relative Intensity
50.40	99	0.14
50.90	179	0.24
51.85	26	0.04
52.85	34	0.05
53.85	8	0.01
54.85	9	0.01
55.85	45	0.06
56.95	985	1.34
60.05	2594	3.54
60.45	2227	3.04
61.45	64	0.09
61.85	32	0.04
62.85	8	0.01
63.85	4	0.01
65.85	9	0.01
66.85	4	0.01
67.85	68	0.09
68.85	36	0.05
70.85	12	0.02
73.00	42	0.06
74.95	4	0.01
76.15	114	0.16
77.95	49	0.07
78.80	899	1.23
79.35	530	0.72
79.80	80	0.11
80.75	35	0.05
81.75	74	0.10
83.00	60243	82.15
83.95	1502	2.05
85.05	4689	6.39
86.00	56	0.08
86.50	530	0.72
87.30	240	0.33
88.75	134	0.18
91.75	11	0.02
92.75	10	0.01
94.55	117	0.16
95.05	90	0.12
95.70	15	0.02
96.10	106	0.14
97.25	82	0.11
97.65	43	0.06
98.80	835	1.14
99.30	171	0.23
99.70	88	0.12
100.30	93	0.13
101.45	87	0.12
101.85	129	0.18
102.85	19	0.03
103.85	3	0.00
104.85	2	0.00
105.85	14	0.02
106.85	11	0.02
107.85	6	0.01
109.15	1137	1.55
109.65	184	0.25
111.65	369	0.50
112.40	105	0.14
113.35	10	0.01
114.15	3	0.00
115.00	168	0.23
115.50	117	0.16
116.55	106	0.14
117.55	21	0.03
118.60	858	1.17
118.95	846	1.15
119.70	336	0.46
120.20	2019	2.75
120.85	1091	1.49
122.60	718	0.98
123.65	6	0.01
124.65	54	0.07
125.90	73331	100.00
127.00	1635	2.23
127.85	5479	7.47
129.00	189	0.26
130.30	704	0.96
131.55	8	0.01
134.15	1177	1.61
135.55	1032	1.41
136.55	335	0.46
136.90	160	0.22
138.20	24991	34.08
139.05	64	0.09
139.75	3109	4.24
140.60	94	0.13
142.55	32	0.04
143.65	98	0.13
144.55	44	0.06
145.35	1488	2.03
146.35	14	0.02
147.35	23	0.03
148.35	36	0.05
150.35	46	0.06
151.35	25	0.03
152.25	30	0.04
153.15	520	0.71
153.90	2462	3.36
154.85	59	0.08
155.80	139	0.19
156.75	190	0.26
157.80	116	0.16
159.25	624	0.85
160.25	12	0.02
161.15	18	0.02
162.00	1232	1.68
163.25	325	0.44
164.80	926	1.26
165.20	259	0.35
167.20	440	0.60
168.10	1375	1.88
169.15	22	0.03
171.20	1765	2.41
172.05	1224	1.67
172.55	72	0.10
173.55	34	0.05
175.10	209	0.29
175.60	84	0.11
176.75	125	0.17
177.15	69	0.09
178.15	33	0.05
179.15	4	0.01
180.45	168	0.23
181.80	143	0.20
183.10	1226	1.67
184.05	5	0.01
186.00	716	0.98
187.05	47	0.06
188.05	3	0.00
189.30	63	0.09
189.95	699	0.95
190.95	75	0.10
191.75	12	0.02
192.55	208	0.28
193.55	26	0.04
194.55	2	0.00
195.35	61	0.08
196.20	2375	3.24
197.15	252	0.34
197.95	1823	2.49
198.90	3710	5.06
199.95	8	0.01
200.85	130	0.18
201.85	3	0.00
202.85	10	0.01
203.85	45	0.06
204.75	14	0.02
205.65	1326	1.81
206.65	359	0.49
207.15	242	0.33
207.65	83	0.11
208.70	300	0.41
209.20	153	0.21
209.80	102	0.14
210.55	38	0.05
211.35	268	0.37
211.85	107	0.15
212.85	408	0.56
213.95	33890	46.22
215.05	4759	6.49
216.00	972	1.33
217.05	69	0.09
218.15	86	0.12
219.15	98	0.13
220.15	45	0.06
221.00	815	1.11
222.05	20	0.03
224.30	1063	1.45
225.00	117	0.16
225.50	138	0.19
226.10	2129	2.90
227.05	122	0.17
228.05	2	0.00
229.20	81	0.11
231.15	46	0.06
232.15	60	0.08
233.05	37	0.05
233.85	789	1.08
235.00	666	0.91
235.95	59	0.08
237.05	1155	1.58
238.65	557	0.76
239.20	3169	4.32
239.80	821	1.12
240.75	1149	1.57
241.20	427	0.58
242.20	4599	6.27
244.15	15	0.02
245.15	3	0.00
246.15	13	0.02
247.40	192	0.26
248.25	1	0.00
249.05	80	0.11
249.60	158	0.22
250.20	208	0.28
250.65	175	0.24
251.20	145	0.20
251.75	169	0.23
252.20	343	0.47
253.25	7	0.01
254.15	2271	3.10
254.90	39588	53.99
256.20	4652	6.34
256.80	614	0.84
257.20	342	0.47
258.00	1232	1.68
260.95	2	0.00
262.75	713	0.97
263.75	59	0.08
264.75	10	0.01
265.85	901	1.23
267.05	4856	6.62
268.10	849	1.16
269.50	65	0.09
271.55	16	0.02
273.55	24	0.03
274.55	53	0.07
275.90	55	0.08
276.25	40	0.05
277.45	22	0.03
277.85	60	0.08
278.75	164	0.22
280.15	51	0.07
280.95	3675	5.01
281.55	46	0.06
282.05	230	0.31
283.05	14	0.02
284.05	31	0.04
285.10	195	0.27
286.05	135	0.18
287.45	28	0.04
288.10	1084	1.48
289.00	137	0.19
289.40	57	0.08
290.35	715	0.98
290.85	378	0.52
292.10	64	0.09
292.55	41	0.06
293.20	274	0.37
294.15	33	0.05
295.40	745	1.02
296.65	1917	2.61
297.95	245	0.33
299.85	30	0.04
301.85	8	0.01
302.85	12	0.02
303.85	939	1.28
304.85	6	0.01
305.85	12	0.02
307.25	794	1.08
308.95	255	0.35
309.85	6	0.01
310.75	765	1.04
311.35	881	1.20
312.10	794	1.08
313.15	49	0.07
315.15	6	0.01
316.15	35	0.05
317.15	23	0.03
318.15	41	0.06
319.05	7	0.01
319.95	79	0.11
322.75	1688	2.30
323.80	1155	1.58
324.85	1562	2.13
326.05	19115	26.07
327.45	1880	2.56
328.45	33	0.05
330.55	187	0.26
331.55	37	0.05
332.55	16	0.02
333.35	34	0.05
334.25	121	0.17
335.15	44	0.06
336.15	51	0.07
337.40	3989	5.44
338.15	7062	9.63
338.85	22578	30.79
339.95	7769	10.59
341.00	2200	3.00
341.90	76	0.10
342.80	751	1.02
343.35	274	0.37
344.15	2	0.00
345.00	734	1.00
347.95	29	0.04
348.95	8	0.01
350.90	1914	2.61
352.10	6004	8.19
353.35	734	1.00
354.20	899	1.23
355.10	946	1.29
355.85	16	0.02
356.85	53	0.07
358.30	90	0.12
358.70	140	0.19
359.30	138	0.19
359.90	1933	2.64
360.65	36	0.05
361.40	1184	1.61
363.45	3	0.00
364.45	25	0.03
365.90	380	0.52
