[MS Spectrum]
# of Peaks	771
Raw Spectrum	[7.117],(scan:[2848])
Background	No Background Spectrum
Base Peak	m/z 55.05 (Inten : 30,819)
m/z	Absolute Intensity	Relative Intensity
51.65	36	0.12
52.65	3314	10.75
53.65	6119	19.85
55.05	30819	100.00
56.50	16843	54.65
57.55	12366	40.12
58.55	9745	31.62
59.55	8406	27.28
60.70	6680	21.67
61.75	5657	18.36
62.80	6000	19.47
63.85	5483	17.79
64.45	2170	7.04
65.25	2225	7.22
66.05	8770	28.46
66.90	5447	17.67
67.95	6897	22.38
68.45	2218	7.20
69.55	10711	34.75
70.25	2078	6.74
71.35	7712	25.02
72.15	1741	5.65
72.95	6861	22.26
74.25	3901	12.66
75.35	4507	14.62
76.40	3425	11.11
77.40	4284	13.90
78.15	1302	4.22
79.15	5228	16.96
80.25	1924	6.24
81.05	1155	3.75
81.85	4817	15.63
82.65	1048	3.40
83.65	2745	8.91
84.25	945	3.07
84.75	3088	10.02
86.00	1277	4.14
86.55	1492	4.84
87.65	1521	4.94
88.20	1069	3.47
89.20	1162	3.77
89.70	1159	3.76
90.25	1230	3.99
91.05	2257	7.32
91.80	963	3.12
92.35	1206	3.91
92.90	889	2.88
93.45	1087	3.53
94.25	1765	5.73
95.00	866	2.81
95.55	1006	3.26
96.55	1015	3.29
97.10	727	2.36
97.90	1570	5.09
98.70	730	2.37
99.45	1556	5.05
100.20	674	2.19
100.75	572	1.86
101.25	862	2.80
101.80	697	2.26
102.40	849	2.75
102.90	791	2.57
103.90	690	2.24
104.50	941	3.05
105.00	260	0.84
105.85	1544	5.01
106.55	544	1.77
107.75	1314	4.26
108.60	839	2.72
109.20	528	1.71
109.70	547	1.77
110.25	711	2.31
110.80	513	1.66
111.30	482	1.56
111.85	497	1.61
112.35	611	1.98
113.35	653	2.12
113.85	447	1.45
114.95	637	2.07
115.50	440	1.43
116.00	435	1.41
116.55	568	1.84
117.05	346	1.12
117.75	1097	3.56
118.65	344	1.12
119.65	416	1.35
120.50	647	2.10
121.25	422	1.37
122.25	471	1.53
122.80	379	1.23
123.90	548	1.78
124.90	352	1.14
125.45	460	1.49
126.00	262	0.85
126.60	449	1.46
127.00	239	0.78
128.40	500	1.62
129.20	327	1.06
129.65	246	0.80
130.15	420	1.36
130.70	292	0.95
131.20	326	1.06
131.70	230	0.75
133.20	387	1.26
133.90	240	0.78
134.40	197	0.64
134.90	158	0.51
135.40	157	0.51
135.95	309	1.00
137.00	510	1.65
138.00	307	1.00
138.50	328	1.06
139.15	476	1.54
139.60	162	0.53
140.60	396	1.28
141.65	310	1.01
142.20	276	0.90
143.25	386	1.25
143.75	169	0.55
144.30	149	0.48
144.90	181	0.59
145.35	144	0.47
145.95	380	1.23
146.45	172	0.56
147.00	311	1.01
147.45	252	0.82
148.10	259	0.84
148.50	103	0.33
149.05	292	0.95
149.50	368	1.19
150.05	49	0.16
151.15	219	0.71
151.70	153	0.50
152.15	297	0.96
152.70	231	0.75
153.25	225	0.73
153.75	357	1.16
154.25	216	0.70
154.95	253	0.82
155.65	80	0.26
156.55	379	1.23
157.50	45	0.15
158.05	191	0.62
158.50	131	0.43
159.35	256	0.83
160.10	150	0.49
161.00	255	0.83
161.55	241	0.78
162.70	505	1.64
163.85	317	1.03
164.70	373	1.21
165.95	164	0.53
166.65	97	0.31
167.25	332	1.08
167.75	152	0.49
168.60	292	0.95
169.20	186	0.60
169.80	81	0.26
170.25	192	0.62
170.90	199	0.65
171.40	206	0.67
171.90	184	0.60
173.00	7250	23.52
173.95	160	0.52
174.50	199	0.65
175.05	143	0.46
175.60	87	0.28
176.15	239	0.78
176.55	220	0.71
177.25	335	1.09
177.60	228	0.74
178.20	95	0.31
178.75	57	0.18
179.35	372	1.21
179.70	177	0.57
180.35	59	0.19
180.85	197	0.64
181.30	159	0.52
182.35	261	0.85
182.85	95	0.31
183.50	154	0.50
183.90	260	0.84
184.55	93	0.30
185.00	125	0.41
185.55	183	0.59
186.15	54	0.18
186.60	234	0.76
187.15	103	0.33
188.20	139	0.45
188.70	26	0.08
189.25	125	0.41
189.75	144	0.47
190.30	170	0.55
190.80	212	0.69
191.40	177	0.57
191.80	77	0.25
192.95	160	0.52
194.05	85	0.28
194.55	153	0.50
195.30	348	1.13
196.05	114	0.37
197.40	380	1.23
198.85	56	0.18
199.25	171	0.55
199.75	85	0.28
200.35	222	0.72
200.90	153	0.50
201.30	62	0.20
201.95	139	0.45
203.30	248	0.80
204.60	88	0.29
205.05	76	0.25
205.65	36	0.12
206.15	144	0.47
206.70	29	0.09
207.15	64	0.21
207.70	208	0.67
209.45	170	0.55
209.80	107	0.35
210.95	94	0.31
211.95	111	0.36
212.75	11	0.04
213.50	159	0.52
214.55	163	0.53
215.05	91	0.30
216.20	48	0.16
216.60	152	0.49
217.65	5	0.02
218.70	161	0.52
219.35	70	0.23
219.90	132	0.43
220.30	46	0.15
220.90	94	0.31
221.30	91	0.30
222.25	20	0.06
223.25	13	0.04
224.25	14	0.05
225.65	148	0.48
227.20	164	0.53
227.65	79	0.26
228.25	59	0.19
229.20	185	0.60
229.90	67	0.22
230.65	62	0.20
231.55	43	0.14
233.00	61	0.20
233.45	215	0.70
234.45	55	0.18
235.60	72	0.23
236.45	31	0.10
237.30	123	0.40
237.70	174	0.56
