[MS Spectrum]
# of Peaks	695
Raw Spectrum	[8.637],(scan:[3456])
Background	No Background Spectrum
Base Peak	m/z 352.85 (Inten : 246,953)
m/z	Absolute Intensity	Relative Intensity
51.30	4326	1.75
52.25	4129	1.67
53.05	5787	2.34
53.50	43185	17.49
56.05	5519	2.23
56.50	45564	18.45
57.05	4439	1.80
57.95	3656	1.48
59.15	7190	2.91
60.15	6047	2.45
60.65	2324	0.94
61.50	9475	3.84
62.25	2102	0.85
63.15	8436	3.42
64.70	8501	3.44
66.05	6768	2.74
67.40	8313	3.37
68.70	5726	2.32
69.75	4825	1.95
70.80	4865	1.97
71.80	3759	1.52
72.45	1578	0.64
73.25	4764	1.93
74.70	6432	2.60
76.30	5361	2.17
77.05	1266	0.51
77.80	5071	2.05
79.10	3464	1.40
79.85	1227	0.50
80.95	4770	1.93
81.75	1011	0.41
82.55	1674	0.68
83.85	2576	1.04
85.15	3980	1.61
85.95	854	0.35
86.80	3437	1.39
87.80	1051	0.43
88.35	1305	0.53
88.95	735	0.30
89.70	2176	0.88
90.95	3093	1.25
92.05	1156	0.47
92.60	918	0.37
93.15	1039	0.42
93.70	755	0.31
94.20	862	0.35
94.75	934	0.38
95.60	1652	0.67
96.30	791	0.32
96.80	689	0.28
97.35	821	0.33
97.90	654	0.26
98.45	837	0.34
99.05	840	0.34
100.00	689	0.28
100.55	758	0.31
101.10	533	0.22
101.70	672	0.27
102.25	742	0.30
102.75	473	0.19
103.20	564	0.23
103.75	756	0.31
104.80	888	0.36
105.35	333	0.13
105.90	540	0.22
106.65	1024	0.41
107.25	378	0.15
108.00	1032	0.42
108.55	280	0.11
109.05	423	0.17
109.55	514	0.21
110.10	450	0.18
110.60	466	0.19
111.10	433	0.18
112.10	470	0.19
112.80	3300	1.34
113.80	408	0.17
114.30	368	0.15
115.30	751	0.30
115.90	380	0.15
116.75	2463	1.00
117.35	195	0.08
118.05	313	0.13
118.50	358	0.14
119.00	335	0.14
119.60	391	0.16
120.10	319	0.13
120.60	292	0.12
121.20	439	0.18
121.70	318	0.13
122.25	260	0.11
122.80	539	0.22
123.25	169	0.07
123.90	402	0.16
124.40	468	0.19
124.80	256	0.10
125.45	264	0.11
125.95	570	0.23
126.50	329	0.13
127.00	244	0.10
127.55	347	0.14
128.05	210	0.09
128.60	296	0.12
129.05	276	0.11
129.60	79	0.03
130.20	233	0.09
131.10	279	0.11
131.85	318	0.13
132.25	251	0.10
133.15	629	0.25
133.80	155	0.06
134.95	5131	2.08
136.05	208	0.08
136.65	1754	0.71
137.55	104	0.04
138.05	293	0.12
138.85	1229	0.50
139.65	143	0.06
140.80	4225	1.71
141.85	187	0.08
142.30	193	0.08
142.90	162	0.07
143.80	176	0.07
144.45	92	0.04
145.00	213	0.09
145.45	196	0.08
146.05	86	0.03
146.60	241	0.10
147.05	201	0.08
147.65	100	0.04
148.15	151	0.06
148.55	129	0.05
149.75	138	0.06
150.15	69	0.03
150.75	150	0.06
151.25	231	0.09
151.90	131	0.05
152.30	195	0.08
152.85	95	0.04
153.40	115	0.05
154.35	341	0.14
155.05	128	0.05
155.45	116	0.05
156.10	210	0.09
156.50	88	0.04
157.15	121	0.05
157.55	143	0.06
158.20	203	0.08
158.70	110	0.04
159.25	55	0.02
160.25	139	0.06
160.80	187	0.08
161.40	239	0.10
161.85	195	0.08
162.35	92	0.04
163.40	187	0.08
163.90	167	0.07
164.70	423	0.17
165.15	180	0.07
165.55	190	0.08
166.55	77	0.03
167.75	162	0.07
168.15	116	0.05
168.60	191	0.08
169.45	243	0.10
170.50	118	0.05
171.45	71	0.03
171.95	175	0.07
172.30	92	0.04
173.05	84	0.03
173.55	179	0.07
173.95	134	0.05
176.20	173	0.07
176.70	435	0.18
177.10	611	0.25
177.70	52	0.02
178.30	186	0.08
179.35	101	0.04
179.85	106	0.04
180.95	34	0.01
181.40	87	0.04
182.05	47	0.02
182.55	129	0.05
182.95	41	0.02
184.10	39	0.02
185.70	132	0.05
186.10	143	0.06
186.70	75	0.03
187.25	131	0.05
188.25	104	0.04
188.80	124	0.05
189.55	23	0.01
190.10	1129	0.46
191.15	943	0.38
191.90	78	0.03
193.00	1130	0.46
194.25	3096	1.25
194.85	7758	3.14
195.75	33	0.01
196.60	456	0.18
197.95	148	0.06
198.55	35	0.01
199.20	48	0.02
200.35	48	0.02
201.60	42	0.02
201.95	88	0.04
202.50	52	0.02
202.80	36	0.01
203.60	131	0.05
204.45	46	0.02
205.30	14	0.01
205.90	33	0.01
206.85	22	0.01
208.15	100	0.04
208.95	17	0.01
209.80	158	0.06
211.20	56	0.02
212.15	3	0.00
213.25	940	0.38
214.20	58	0.02
214.95	2009	0.81
215.55	37	0.01
215.90	37	0.01
217.20	224	0.09
218.65	46	0.02
220.65	19	0.01
221.80	67	0.03
222.75	13	0.01
224.75	24	0.01
