[MS Spectrum]
# of Peaks	699
Raw Spectrum	[7.037],(scan:[2816])
Background	No Background Spectrum
Base Peak	m/z 190.45 (Inten : 50,540)
m/z	Absolute Intensity	Relative Intensity
54.65	2703	5.35
55.65	5408	10.70
56.35	45769	90.56
58.55	25262	49.98
58.75	5813	11.50
59.95	12140	24.02
61.10	9321	18.44
62.35	9655	19.10
62.65	2567	5.08
63.70	6285	12.44
64.85	6327	12.52
65.55	2181	4.32
66.75	9733	19.26
68.20	5993	11.86
69.30	5984	11.84
69.95	2127	4.21
70.85	2288	4.53
71.55	9412	18.62
73.05	5795	11.47
73.90	2453	4.85
74.70	4528	8.96
76.05	6197	12.26
77.45	4257	8.42
77.95	1329	2.63
78.95	3623	7.17
79.55	1212	2.40
80.15	4722	9.34
81.15	1136	2.25
81.80	2726	5.39
83.10	1414	2.80
83.95	3276	6.48
84.75	1087	2.15
85.55	3375	6.68
86.70	2772	5.48
87.25	906	1.79
88.05	1525	3.02
88.60	1134	2.24
89.10	1112	2.20
90.05	902	1.78
91.05	9850	19.49
91.65	1700	3.36
92.35	1084	2.14
93.45	1291	2.55
94.05	1026	2.03
94.90	1841	3.64
95.60	807	1.60
96.15	1103	2.18
96.70	782	1.55
97.75	908	1.80
98.35	1059	2.10
98.90	672	1.33
99.75	1839	3.64
100.60	1273	2.52
101.55	970	1.92
102.35	476	0.94
103.15	804	1.59
104.25	783	1.55
105.10	1196	2.37
106.40	596	1.18
107.00	748	1.48
107.55	804	1.59
108.65	740	1.46
109.20	436	0.86
109.70	457	0.90
110.25	525	1.04
110.80	486	0.96
111.35	664	1.31
111.90	635	1.26
112.85	1200	2.37
113.60	538	1.06
114.10	458	0.91
115.10	716	1.42
115.70	494	0.98
116.60	7412	14.67
117.15	732	1.45
117.95	444	0.88
118.50	406	0.80
119.05	431	0.85
119.60	518	1.02
120.10	372	0.74
120.65	489	0.97
121.15	217	0.43
121.75	486	0.96
122.30	338	0.67
122.80	334	0.66
123.40	337	0.67
123.95	558	1.10
124.55	334	0.66
125.05	181	0.36
125.60	233	0.46
126.45	511	1.01
127.15	422	0.83
127.70	401	0.79
128.25	215	0.43
128.85	216	0.43
129.50	232	0.46
129.90	297	0.59
130.45	390	0.77
131.00	337	0.67
131.70	303	0.60
132.15	177	0.35
133.10	849	1.68
133.80	107	0.21
134.35	467	0.92
134.85	225	0.45
135.45	329	0.65
135.80	170	0.34
136.45	158	0.31
137.00	256	0.51
137.50	92	0.18
138.65	265	0.52
139.15	500	0.99
139.70	250	0.49
140.65	1547	3.06
141.40	306	0.61
141.85	160	0.32
142.50	215	0.43
143.15	1220	2.41
144.60	2168	4.29
145.20	130	0.26
145.80	153	0.30
146.25	458	0.91
147.30	479	0.95
147.90	303	0.60
148.45	144	0.28
149.00	332	0.66
149.60	54	0.11
150.15	121	0.24
150.65	145	0.29
151.25	173	0.34
151.65	134	0.27
152.50	505	1.00
153.40	115	0.23
154.00	247	0.49
154.45	120	0.24
155.05	113	0.22
155.60	232	0.46
156.05	169	0.33
156.75	150	0.30
158.25	225	0.45
