[MS Spectrum]
# of Peaks	674
Raw Spectrum	[7.295],(scan:[2919])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 175,673)
m/z	Absolute Intensity	Relative Intensity
52.65	7	0.00
54.65	84	0.05
55.65	4	0.00
57.65	25	0.01
59.25	498	0.28
61.25	5	0.00
62.25	50	0.03
63.25	4	0.00
67.25	8	0.00
69.20	752	0.43
70.15	51	0.03
71.15	30	0.02
72.15	3	0.00
73.15	9	0.01
74.40	467	0.27
75.45	12	0.01
76.45	2	0.00
77.45	28	0.02
78.25	3662	2.08
79.00	77831	44.30
80.65	1792	1.02
81.40	1218	0.69
82.20	277	0.16
83.05	6098	3.47
84.00	147	0.08
84.95	14	0.01
86.95	3864	2.20
88.15	176	0.10
89.15	360	0.20
91.15	8	0.00
92.15	32	0.02
93.15	19	0.01
94.15	1	0.00
96.35	256	0.15
97.35	11	0.01
98.35	32	0.02
99.25	19	0.01
100.20	4525	2.58
100.70	975	0.56
101.15	2506	1.43
102.05	630	0.36
102.95	81	0.05
105.20	241	0.14
106.15	1	0.00
107.15	47	0.03
108.15	5	0.00
109.45	217	0.12
110.00	582	0.33
111.10	199	0.11
112.05	3	0.00
112.95	28	0.02
113.75	69	0.04
114.30	242	0.14
115.30	515	0.29
118.70	110	0.06
119.90	155771	88.67
120.90	6633	3.78
121.80	9380	5.34
122.95	1156	0.66
123.50	280	0.16
124.15	215	0.12
126.80	214	0.12
127.95	309	0.18
128.55	192	0.11
128.95	149	0.08
129.40	111	0.06
130.20	34	0.02
130.60	80	0.05
131.65	656	0.37
133.35	148	0.08
134.20	4927	2.80
135.70	296	0.17
136.80	612	0.35
137.70	182	0.10
138.55	52	0.03
139.35	7400	4.21
140.25	8	0.00
141.05	443	0.25
142.00	646	0.37
142.95	14	0.01
144.95	72	0.04
145.95	171	0.10
147.00	296	0.17
148.30	2773	1.58
150.05	19	0.01
150.90	1314	0.75
151.85	6	0.00
152.90	743	0.42
153.75	8	0.00
154.60	930	0.53
155.00	294	0.17
155.95	2359	1.34
156.85	175673	100.00
157.95	5697	3.24
158.90	19035	10.84
159.65	1276	0.73
160.65	993	0.57
162.45	10	0.01
163.20	1665	0.95
164.25	77	0.04
166.10	607	0.35
167.05	29	0.02
168.20	1437	0.82
168.70	1064	0.61
169.10	451	0.26
170.05	38	0.02
170.95	15	0.01
171.90	489	0.28
174.15	2747	1.56
175.20	183	0.10
176.25	23	0.01
179.25	16	0.01
181.25	59	0.03
183.90	303	0.17
184.85	17	0.01
186.00	183	0.10
187.05	10	0.01
189.05	6	0.00
190.05	237	0.13
192.10	122	0.07
193.05	29	0.02
194.30	601	0.34
194.75	317	0.18
196.75	3	0.00
197.95	2873	1.64
198.95	31	0.02
199.95	16	0.01
200.95	4	0.00
202.20	1272	0.72
202.90	1450	0.83
203.85	15	0.01
205.10	92	0.05
205.90	267	0.15
206.60	511	0.29
207.65	6	0.00
209.45	413	0.24
211.90	721	0.41
212.85	1514	0.86
213.25	971	0.55
214.00	636	0.36
214.40	292	0.17
216.35	42	0.02
217.25	633	0.36
218.25	365	0.21
219.25	85	0.05
220.25	2	0.00
221.25	101	0.06
222.25	9	0.01
223.10	165	0.09
