[MS Spectrum]
# of Peaks	616
Raw Spectrum	[6.575],(scan:[2631])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 1,158,014)
m/z	Absolute Intensity	Relative Intensity
54.65	28	0.00
58.80	592	0.05
59.40	347	0.03
61.00	109	0.01
63.05	5	0.00
64.05	1	0.00
66.85	13580	1.17
67.70	5428	0.47
68.80	2455	0.21
70.25	278	0.02
72.85	437	0.04
76.20	64	0.01
78.15	2673	0.23
79.05	236416	20.42
80.15	6268	0.54
81.00	14550	1.26
81.90	729	0.06
83.15	3328	0.29
83.95	1484	0.13
84.75	121	0.01
86.90	5117	0.44
87.55	361	0.03
88.35	13001	1.12
89.35	16	0.00
92.40	7124	0.62
93.35	10	0.00
95.35	36	0.00
96.50	3816	0.33
97.25	826	0.07
99.10	735	0.06
99.85	3693	0.32
100.80	390	0.03
101.35	165	0.01
103.50	219	0.02
104.85	79	0.01
107.15	337	0.03
107.75	468	0.04
108.65	2	0.00
109.60	325	0.03
110.30	1065	0.09
112.00	980	0.08
114.30	456	0.04
115.30	1299	0.11
119.15	18671	1.61
119.95	527755	45.57
120.80	54855	4.74
121.85	37092	3.20
123.00	146	0.01
124.05	2254	0.19
125.35	91	0.01
127.45	196	0.02
128.25	37	0.00
129.05	945	0.08
130.20	443	0.04
135.05	45	0.00
135.90	253	0.02
136.95	399	0.03
137.95	1	0.00
138.95	4	0.00
139.85	8	0.00
140.80	328	0.03
141.75	13	0.00
143.15	1455	0.13
145.00	241	0.02
147.10	1901	0.16
150.90	240	0.02
152.00	81	0.01
154.35	197	0.02
154.95	254	0.02
155.95	21161	1.83
156.85	1158014	100.00
157.95	36287	3.13
158.85	141251	12.20
159.95	4791	0.41
160.45	2037	0.18
161.00	4792	0.41
161.85	1799	0.16
162.75	610	0.05
163.10	263	0.02
163.90	569	0.05
165.20	2465	0.21
166.15	1544	0.13
167.30	11	0.00
168.15	709	0.06
168.75	1449	0.13
170.70	598	0.05
171.40	1191	0.10
172.00	1132	0.10
174.00	1771	0.15
174.95	11	0.00
175.95	3	0.00
177.90	457	0.04
178.85	14	0.00
179.85	25	0.00
181.75	81	0.01
183.15	515	0.04
184.15	5	0.00
185.70	1373	0.12
186.75	204	0.02
189.75	13	0.00
192.10	383	0.03
193.05	2	0.00
194.05	844	0.07
195.20	2645	0.23
196.00	1194	0.10
196.60	446	0.04
197.45	1761	0.15
198.15	2879	0.25
199.20	2665	0.23
199.90	860	0.07
200.65	12	0.00
201.50	1016	0.09
202.55	2784	0.24
205.30	114	0.01
207.00	108	0.01
207.95	3	0.00
209.65	318	0.03
211.15	363	0.03
212.05	157	0.01
213.45	164	0.01
214.25	1353	0.12
216.30	643	0.06
218.45	162	0.01
219.45	12	0.00
220.70	28	0.00
221.05	27	0.00
221.80	345	0.03
222.25	269	0.02
223.25	51	0.00
224.20	672	0.06
225.40	1566	0.14
226.10	1334	0.12
227.80	110	0.01
228.50	1776	0.15
229.20	116	0.01
230.35	211	0.02
231.30	684	0.06
234.05	197	0.02
234.95	5	0.00
235.95	1035	0.09
236.95	399	0.03
239.05	3393	0.29
240.10	1875	0.16
241.15	6	0.00
243.15	1	0.00
244.70	366	0.03
245.75	17	0.00
246.75	14	0.00
248.45	148	0.01
250.20	708	0.06
250.70	466	0.04
252.30	426	0.04
253.00	122	0.01
256.10	303	0.03
257.00	661	0.06
257.60	75	0.01
258.25	235	0.02
260.20	192	0.02
261.00	207	0.02
264.10	118	0.01
264.80	426	0.04
266.45	495	0.04
267.25	23	0.00
268.00	672	0.06
269.10	99	0.01
270.55	305	0.03
271.05	1080	0.09
273.05	4	0.00
274.10	338	0.03
275.90	727	0.06
276.95	1242	0.11
277.60	347	0.03
278.65	823	0.07
280.15	2131	0.18
280.90	2542	0.22
282.00	137	0.01
283.30	1735	0.15
283.75	1158	0.10
285.45	398	0.03
287.85	1551	0.13
288.60	2458	0.21
289.05	1865	0.16
290.00	130	0.01
290.80	6176	0.53
292.15	820	0.07
294.15	2357	0.20
295.15	60	0.01
296.05	3371	0.29
296.95	467	0.04
298.20	1222	0.11
298.75	36	0.00
299.65	367	0.03
300.20	343	0.03
302.40	309	0.03
303.45	343	0.03
304.55	560	0.05
305.30	343	0.03
306.10	1171	0.10
307.40	886	0.08
307.90	780	0.07
308.80	3349	0.29
309.80	2660	0.23
310.40	1377	0.12
311.20	1389	0.12
312.05	3532	0.31
313.05	1211	0.10
316.10	2054	0.18
316.95	120	0.01
317.70	338	0.03
318.75	36	0.00
320.15	265	0.02
321.05	1192	0.10
322.30	423	0.04
324.35	2509	0.22
325.05	361	0.03
326.00	183	0.02
327.35	702	0.06
328.00	1040	0.09
331.95	241	0.02
334.25	1844	0.16
336.00	600	0.05
337.00	631	0.05
337.75	1034	0.09
338.15	690	0.06
338.60	849	0.07
339.20	121	0.01
340.15	1205	0.10
340.90	203	0.02
341.30	490	0.04
342.20	1663	0.14
342.90	1330	0.11
343.45	545	0.05
344.05	76	0.01
345.05	2383	0.21
346.95	410	0.04
347.25	183	0.02
348.60	784	0.07
349.65	630	0.05
350.10	1260	0.11
351.90	1100	0.09
