[MS Spectrum]
# of Peaks	1930
Raw Spectrum	[6.687],(scan:[2007])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 316,950)
m/z	Absolute Intensity	Relative Intensity
51.10	209	0.07
52.15	179	0.06
53.30	165	0.05
54.20	168	0.05
55.30	190	0.06
56.35	192	0.06
57.55	205	0.06
58.55	213	0.07
59.60	259	0.08
60.80	241	0.08
61.75	315	0.10
62.75	594	0.19
63.90	297	0.09
64.25	149	0.05
64.95	254	0.08
66.05	149	0.05
67.15	363	0.11
68.10	121	0.04
69.20	274	0.09
70.30	301	0.09
71.35	85	0.03
72.40	494	0.16
73.65	279	0.09
74.55	172	0.05
75.30	9	0.00
76.15	76	0.02
76.70	213	0.07
77.70	342	0.11
79.05	58156	18.35
80.50	3532	1.11
81.10	2785	0.88
82.00	406	0.13
83.35	642	0.20
84.15	153	0.05
85.25	235	0.07
86.50	638	0.20
87.35	359	0.11
88.55	397	0.13
89.50	223	0.07
90.65	288	0.09
91.70	404	0.13
92.75	324	0.10
93.85	457	0.14
94.85	121	0.04
96.10	345	0.11
97.10	609	0.19
98.20	401	0.13
99.20	353	0.11
100.30	360	0.11
101.30	326	0.10
102.35	338	0.11
103.45	296	0.09
104.00	102	0.03
104.60	631	0.20
105.35	1287	0.41
106.70	405	0.13
107.80	188	0.06
108.80	298	0.09
109.95	336	0.11
111.00	212	0.07
112.05	379	0.12
113.10	746	0.24
114.15	469	0.15
115.15	520	0.16
116.25	379	0.12
117.35	246	0.08
118.20	1350	0.43
119.00	16888	5.33
119.90	316950	100.00
120.90	14220	4.49
121.45	18379	5.80
122.90	140	0.04
123.80	378	0.12
124.80	366	0.12
125.90	277	0.09
126.95	286	0.09
128.10	463	0.15
129.30	874	0.28
130.25	460	0.15
131.20	86	0.03
132.30	269	0.08
133.40	292	0.09
134.45	195	0.06
135.50	253	0.08
136.40	236	0.07
137.70	348	0.11
138.75	365	0.12
139.80	313	0.10
141.05	233	0.07
142.00	1344	0.42
143.35	648	0.20
144.10	142	0.04
145.15	244	0.08
145.90	870	0.27
146.50	90	0.03
147.30	517	0.16
148.35	423	0.13
149.50	335	0.11
150.50	336	0.11
151.60	1374	0.43
152.60	114	0.04
153.80	450	0.14
155.15	479	0.15
156.00	18316	5.78
157.00	109358	34.50
158.60	17109	5.40
160.00	460	0.15
160.95	2895	0.91
162.30	459	0.14
163.45	1323	0.42
164.35	300	0.09
164.90	268	0.08
165.45	392	0.12
166.55	347	0.11
167.60	309	0.10
168.70	249	0.08
169.70	239	0.08
170.80	637	0.20
171.90	375	0.12
172.95	445	0.14
174.00	198	0.06
175.10	251	0.08
176.20	324	0.10
177.30	366	0.12
178.25	333	0.11
179.50	595	0.19
180.50	314	0.10
181.55	423	0.13
182.05	507	0.16
182.55	263	0.08
183.65	324	0.10
184.80	233	0.07
185.85	283	0.09
186.80	67	0.02
188.10	103	0.03
189.15	253	0.08
190.10	400	0.13
191.45	1301	0.41
