[MS Spectrum]
# of Peaks	2011
Raw Spectrum	[6.689],(scan:[2008])
Background	No Background Spectrum
Base Peak	m/z 61.35 (Inten : 16,129)
m/z	Absolute Intensity	Relative Intensity
50.20	7128	44.19
51.20	4551	28.22
52.75	12644	78.39
53.30	2395	14.85
54.30	5792	35.91
55.30	6205	38.47
56.40	7083	43.91
57.70	8635	53.54
58.50	2608	16.17
59.50	2635	16.34
60.50	2586	16.03
61.35	16129	100.00
63.10	6053	37.53
63.70	2496	15.48
65.00	10563	65.49
66.30	4658	28.88
67.00	2248	13.94
67.75	11651	72.24
68.80	1989	12.33
70.65	12630	78.31
71.30	2099	13.01
72.30	1935	12.00
73.40	6749	41.84
74.55	3958	24.54
75.65	5608	34.77
77.25	7749	48.04
77.80	1682	10.43
78.90	5352	33.18
80.25	5205	32.27
81.25	2760	17.11
82.05	3377	20.94
83.20	5134	31.83
84.35	3390	21.02
85.80	7177	44.50
86.30	1533	9.50
87.35	3703	22.96
88.45	3986	24.71
89.50	3163	19.61
90.65	4373	27.11
91.75	2940	18.23
92.65	2283	14.15
93.70	4032	25.00
94.85	2709	16.80
95.90	3366	20.87
97.00	2918	18.09
98.00	2889	17.91
99.20	2269	14.07
100.20	3593	22.28
101.35	2518	15.61
102.40	2306	14.30
103.40	3507	21.74
104.50	2332	14.46
105.60	2938	18.22
106.65	2048	12.70
107.60	2146	13.31
108.70	2755	17.08
109.90	2698	16.73
110.70	1620	10.04
111.20	883	5.47
112.00	2219	13.76
112.90	795	4.93
114.10	2264	14.04
115.65	4670	28.95
116.40	796	4.94
117.35	1991	12.34
118.45	2567	15.92
119.45	1804	11.18
120.40	1951	12.10
121.50	2157	13.37
122.65	1881	11.66
123.50	1139	7.06
124.00	580	3.60
124.75	1681	10.42
125.70	1095	6.79
126.95	2087	12.94
127.95	1475	9.15
129.00	1780	11.04
130.15	1750	10.85
131.15	1696	10.52
132.25	1121	6.95
133.25	2082	12.91
134.15	662	4.10
134.65	605	3.75
135.45	1703	10.56
136.50	2002	12.41
137.55	1390	8.62
138.35	981	6.08
138.90	822	5.10
139.70	1629	10.10
140.55	1167	7.24
141.90	1491	9.24
142.90	1680	10.42
143.80	884	5.48
144.30	527	3.27
145.05	1627	10.09
146.05	1198	7.43
147.20	1416	8.78
148.25	1443	8.95
149.35	1075	6.67
150.40	1303	8.08
151.50	1385	8.59
152.50	1160	7.19
153.55	1261	7.82
154.55	1547	9.59
155.70	857	5.31
156.80	1123	6.96
157.95	1272	7.89
158.85	1136	7.04
160.05	1518	9.41
161.15	1315	8.15
162.25	939	5.82
163.15	1316	8.16
164.20	1379	8.55
165.35	953	5.91
165.85	242	1.50
166.45	1035	6.42
167.40	1047	6.49
168.55	1024	6.35
