[MS Spectrum]
# of Peaks	516
Raw Spectrum	[6.390],(scan:[2557])
Background	No Background Spectrum
Base Peak	m/z 125.95 (Inten : 194,796)
m/z	Absolute Intensity	Relative Intensity
50.65	1	0.00
51.65	12	0.01
53.65	24	0.01
54.65	13	0.01
56.65	5	0.00
59.40	1007	0.52
60.00	63	0.03
61.05	38	0.02
62.05	7	0.00
64.40	80	0.04
66.35	21	0.01
67.35	2432	1.25
68.35	15	0.01
69.70	559	0.29
71.65	5	0.00
77.65	1	0.00
79.15	1146	0.59
80.20	1560	0.80
81.20	494	0.25
82.15	2384	1.22
83.05	193994	99.59
84.05	5723	2.94
84.95	26399	13.55
85.95	151	0.08
87.10	753	0.39
88.05	150	0.08
89.10	100	0.05
90.15	18	0.01
91.15	55	0.03
95.15	20	0.01
97.15	26	0.01
98.25	298	0.15
98.95	861	0.44
99.95	18254	9.37
101.20	7133	3.66
102.25	8	0.00
103.10	935	0.48
104.05	5	0.00
104.90	1128	0.58
109.95	180	0.09
111.95	58	0.03
112.95	4	0.00
113.95	7	0.00
116.40	1397	0.72
119.25	1120	0.57
120.00	23220	11.92
121.25	2194	1.13
121.75	1049	0.54
122.30	383	0.20
123.60	55	0.03
124.05	334	0.17
124.60	996	0.51
125.95	194796	100.00
126.80	18357	9.42
127.75	6366	3.27
128.25	3444	1.77
129.05	82	0.04
130.00	1891	0.97
130.40	907	0.47
131.25	4	0.00
132.15	527	0.27
133.15	10	0.01
136.15	2	0.00
137.15	43	0.02
139.15	51	0.03
140.80	1446	0.74
142.10	2060	1.06
143.20	1698	0.87
144.50	386	0.20
145.55	133	0.07
146.05	660	0.34
147.05	1	0.00
148.15	64	0.03
149.25	45	0.02
151.35	260	0.13
151.90	808	0.41
153.25	587	0.30
153.60	384	0.20
154.55	7	0.00
156.35	89	0.05
157.00	179	0.09
158.00	318	0.16
158.70	826	0.42
160.65	20	0.01
162.85	1062	0.55
164.85	191	0.10
165.35	173	0.09
166.75	614	0.32
167.75	28	0.01
168.60	1977	1.01
169.15	690	0.35
169.90	228	0.12
170.90	2950	1.51
172.00	92	0.05
172.40	33	0.02
173.35	7	0.00
174.25	138	0.07
174.60	61	0.03
176.65	27	0.01
177.95	33	0.02
178.35	17	0.01
179.10	149	0.08
180.45	413	0.21
181.10	90	0.05
183.10	300	0.15
183.80	58	0.03
185.00	949	0.49
185.55	58	0.03
186.85	451	0.23
188.25	715	0.37
189.00	1346	0.69
190.30	674	0.35
190.70	210	0.11
191.65	23	0.01
196.15	168	0.09
196.95	1	0.00
197.80	396	0.20
198.95	655	0.34
199.80	163	0.08
200.75	10	0.01
201.75	372	0.19
203.10	1096	0.56
203.50	1615	0.83
204.30	222	0.11
205.35	14	0.01
206.35	6	0.00
208.35	12	0.01
209.35	55	0.03
211.60	638	0.33
213.90	16158	8.29
215.10	1030	0.53
216.05	48	0.02
217.10	410	0.21
220.75	1045	0.54
224.65	233	0.12
226.15	479	0.25
227.25	43	0.02
229.25	1	0.00
232.25	100	0.05
233.70	46	0.02
236.95	1187	0.61
239.20	866	0.44
240.10	607	0.31
240.95	103	0.05
242.15	241	0.12
245.15	514	0.26
247.15	8	0.00
248.15	1	0.00
249.40	1427	0.73
250.95	504	0.26
252.95	24	0.01
254.25	3046	1.56
254.85	7600	3.90
255.30	3543	1.82
256.05	2134	1.10
256.75	9	0.00
257.55	778	0.40
259.15	88	0.05
261.80	67	0.03
263.55	12	0.01
264.40	313	0.16
266.25	2	0.00
267.20	350	0.18
268.25	800	0.41
269.25	30	0.02
272.25	19	0.01
274.05	68	0.03
275.05	2	0.00
277.05	6	0.00
278.40	368	0.19
279.30	444	0.23
280.25	2	0.00
281.60	93	0.05
282.45	16	0.01
283.25	3705	1.90
284.65	4030	2.07
285.25	1215	0.62
290.25	2	0.00
295.10	67	0.03
296.60	24	0.01
297.30	244	0.13
298.15	677	0.35
299.60	91	0.05
300.90	67	0.03
301.85	63	0.03
303.05	679	0.35
304.40	255	0.13
305.35	1	0.00
306.95	374	0.19
311.65	22	0.01
312.55	236	0.12
317.45	21	0.01
318.60	169	0.09
320.70	2167	1.11
322.20	704	0.36
323.05	1939	1.00
323.85	12	0.01
324.75	1339	0.69
325.10	834	0.43
326.20	117	0.06
326.85	102	0.05
327.85	7	0.00
329.65	776	0.40
330.85	11562	5.94
331.95	5508	2.83
333.30	1103	0.57
334.25	2201	1.13
335.40	996	0.51
336.50	118	0.06
337.35	18	0.01
338.30	555	0.28
340.10	518	0.27
341.15	5	0.00
343.15	8	0.00
344.85	60	0.03
345.85	14	0.01
347.55	1731	0.89
348.35	1017	0.52
348.70	458	0.24
349.05	811	0.42
351.05	255	0.13
352.00	227	0.12
353.00	1196	0.61
353.95	14	0.01
355.20	180	0.09
356.15	20	0.01
357.15	6	0.00
357.95	21	0.01
358.85	2114	1.09
360.20	43305	22.23
361.20	9921	5.09
362.25	171	0.09
363.05	37	0.02
363.90	79	0.04
364.85	20	0.01
365.85	5	0.00
367.85	12	0.01
368.75	245	0.13
369.80	108	0.06
370.75	98	0.05
371.60	6382	3.28
372.70	878	0.45
373.20	781	0.40
374.30	581	0.30
375.05	15	0.01
376.00	3966	2.04
376.60	731	0.38
377.25	333	0.17
377.85	571	0.29
378.30	178	0.09
379.35	11	0.01
380.35	9	0.00
382.35	26	0.01
383.25	21	0.01
384.15	124	0.06
385.15	5	0.00
386.15	3	0.00
388.10	134	0.07
389.05	612	0.31
389.90	703	0.36
391.15	1170	0.60
393.35	190	0.10
394.25	3	0.00
395.25	89	0.05
395.95	21	0.01
396.80	83	0.04
399.15	32	0.02
403.20	37	0.02
404.15	1381	0.71
405.10	200	0.10
406.20	265	0.14
407.75	1855	0.95
409.30	1244	0.64
409.80	311	0.16
410.30	924	0.47
413.15	189	0.10
413.60	42	0.02
417.70	385	0.20
419.55	184	0.09
420.50	365	0.19
421.25	8	0.00
422.10	145	0.07
425.85	1	0.00
426.65	1203	0.62
428.65	11	0.01
429.65	23	0.01
431.65	1	0.00
436.35	613	0.31
437.05	666	0.34
438.20	207	0.11
439.15	37	0.02
440.30	250	0.13
441.25	9	0.00
442.05	822	0.42
445.05	3	0.00
446.40	1106	0.57
449.35	57	0.03
450.35	27	0.01
451.40	216	0.11
452.50	702	0.36
453.00	32	0.02
454.40	1360	0.70
455.35	111	0.06
457.05	36	0.02
458.30	757	0.39
459.60	291	0.15
460.55	13	0.01
461.65	197	0.10
462.10	448	0.23
465.15	70	0.04
466.15	127	0.07
467.15	6	0.00
468.15	44	0.02
469.40	242	0.12
470.70	45	0.02
471.65	19	0.01
473.65	72	0.04
476.05	263	0.14
477.05	4	0.00
481.00	242	0.12
481.95	13	0.01
484.15	404	0.21
485.15	6	0.00
486.75	202	0.10
487.20	79	0.04
487.75	145	0.07
489.10	1440	0.74
490.05	20	0.01
491.05	14	0.01
493.05	43	0.02
494.15	111	0.06
496.35	632	0.32
497.55	321	0.16
500.45	15	0.01
501.25	1215	0.62
501.70	166	0.09
503.55	53	0.03
504.45	415	0.21
504.95	188	0.10
505.85	9	0.00
506.65	423	0.22
507.15	62	0.03
507.65	31	0.02
508.65	825	0.42
509.65	7	0.00
510.90	259	0.13
511.95	2373	1.22
513.95	15	0.01
520.05	361	0.19
523.05	7	0.00
524.25	32	0.02
527.75	871	0.45
528.70	443	0.23
530.10	1428	0.73
535.05	2	0.00
538.05	35	0.02
539.40	250	0.13
541.00	87	0.04
541.95	10	0.01
545.95	260	0.13
546.95	37	0.02
547.95	18	0.01
548.95	22	0.01
549.95	2	0.00
552.15	409	0.21
553.75	695	0.36
558.60	562	0.29
560.55	46	0.02
562.55	5	0.00
563.55	85	0.04
564.55	9	0.00
566.55	10	0.01
567.55	8	0.00
568.45	97	0.05
569.35	243	0.12
572.35	14	0.01
574.25	203	0.10
575.20	1509	0.77
577.30	48	0.02
578.50	51	0.03
579.55	258	0.13
581.55	2	0.00
585.55	161	0.08
586.00	48	0.02
588.75	851	0.44
591.30	1222	0.63
591.90	82	0.04
592.85	15	0.01
594.85	1	0.00
