[MS Spectrum]
# of Peaks	577
Raw Spectrum	[6.342],(scan:[2538])
Background	No Background Spectrum
Base Peak	m/z 56.25 (Inten : 30,798)
m/z	Absolute Intensity	Relative Intensity
52.65	27	0.09
53.65	3216	10.44
54.65	5858	19.02
55.45	6815	22.13
56.25	30798	100.00
57.70	16002	51.96
58.75	16350	53.09
59.85	9025	29.30
60.85	7358	23.89
62.15	9535	30.96
62.45	2364	7.68
63.50	6076	19.73
64.15	2084	6.77
64.95	9733	31.60
66.60	8717	28.30
67.35	2251	7.31
68.20	9501	30.85
69.80	8455	27.45
71.15	6104	19.82
72.25	4989	16.20
72.95	1958	6.36
73.85	5006	16.25
74.90	4370	14.19
75.55	1538	4.99
76.45	4720	15.33
78.40	5911	19.19
78.75	1428	4.64
79.50	1686	5.47
80.55	5176	16.81
81.65	1769	5.74
82.75	4667	15.15
83.80	1342	4.36
84.65	1025	3.33
85.40	2012	6.53
86.00	1131	3.67
86.50	1175	3.82
87.05	1342	4.36
88.10	1095	3.56
88.90	2254	7.32
89.65	848	2.75
90.90	9864	32.03
91.95	1290	4.19
92.50	983	3.19
93.00	923	3.00
93.55	887	2.88
94.30	2314	7.51
95.10	803	2.61
95.65	905	2.94
96.20	936	3.04
96.75	1104	3.58
97.35	906	2.94
98.45	999	3.24
98.95	508	1.65
99.45	823	2.67
100.00	593	1.93
100.55	632	2.05
101.05	863	2.80
101.65	652	2.12
102.20	774	2.51
102.70	677	2.20
103.20	578	1.88
103.75	660	2.14
104.30	618	2.01
104.85	698	2.27
105.45	498	1.62
105.95	719	2.33
106.50	575	1.87
107.10	651	2.11
107.60	581	1.89
108.05	476	1.55
108.65	454	1.47
109.20	504	1.64
109.70	347	1.13
110.25	601	1.95
110.80	542	1.76
111.30	539	1.75
111.90	581	1.89
112.45	596	1.94
113.00	450	1.46
113.50	373	1.21
114.10	556	1.81
114.80	1082	3.51
115.75	355	1.15
116.15	340	1.10
116.70	789	2.56
117.30	348	1.13
117.95	1095	3.56
118.40	225	0.73
118.90	385	1.25
119.45	423	1.37
119.95	294	0.95
120.55	399	1.30
121.05	460	1.49
121.65	338	1.10
122.10	413	1.34
122.60	376	1.22
123.25	316	1.03
123.70	289	0.94
124.35	338	1.10
124.80	420	1.36
125.35	189	0.61
125.85	247	0.80
126.45	322	1.05
127.05	178	0.58
127.55	314	1.02
128.05	142	0.46
128.60	108	0.35
129.15	263	0.85
129.65	299	0.97
130.70	2236	7.26
131.25	287	0.93
131.85	190	0.62
132.40	169	0.55
132.90	245	0.80
133.50	302	0.98
134.00	327	1.06
134.55	222	0.72
135.00	236	0.77
135.60	165	0.54
136.20	89	0.29
136.65	173	0.56
137.20	240	0.78
137.75	184	0.60
138.35	285	0.93
138.85	237	0.77
139.30	255	0.83
139.95	207	0.67
