[MS Spectrum]
# of Peaks	655
Raw Spectrum	[7.297],(scan:[2920])
Background	No Background Spectrum
Base Peak	m/z 688.40 (Inten : 51,522)
m/z	Absolute Intensity	Relative Intensity
54.65	1593	3.09
55.65	4931	9.57
56.55	6474	12.57
57.65	36379	70.61
59.55	21928	42.56
59.75	5001	9.71
61.20	14050	27.27
61.55	3236	6.28
62.60	7541	14.64
63.95	8646	16.78
64.75	2129	4.13
65.60	9252	17.96
66.95	5171	10.04
68.00	6040	11.72
69.10	5946	11.54
69.75	2021	3.92
70.95	9798	19.02
71.95	2111	4.10
73.15	9005	17.48
74.65	5232	10.15
75.15	1625	3.15
76.05	6322	12.27
76.75	1479	2.87
77.55	3197	6.21
78.45	3441	6.68
78.95	1261	2.45
79.50	3617	7.02
80.55	3126	6.07
81.15	1172	2.27
81.85	5037	9.78
83.00	2149	4.17
83.90	3153	6.12
84.95	2659	5.16
85.75	978	1.90
86.70	1660	3.22
87.35	1386	2.69
88.15	982	1.91
88.95	1557	3.02
89.85	2686	5.21
90.90	5307	10.30
91.80	3798	7.37
92.30	1169	2.27
93.55	1969	3.82
94.40	1357	2.63
95.60	2954	5.73
96.60	708	1.37
97.45	1618	3.14
98.25	984	1.91
98.80	661	1.28
99.35	855	1.66
100.15	1561	3.03
100.95	849	1.65
101.60	1111	2.16
102.65	763	1.48
103.20	519	1.01
104.15	843	1.64
104.80	483	0.94
105.80	641	1.24
106.40	771	1.50
106.90	616	1.20
107.85	1155	2.24
108.60	495	0.96
109.30	1183	2.30
110.25	424	0.82
110.70	557	1.08
111.25	582	1.13
111.95	700	1.36
113.00	1708	3.32
113.55	3607	7.00
114.65	1766	3.43
115.25	263	0.51
115.90	1772	3.44
116.50	3580	6.95
117.00	3703	7.19
117.50	4529	8.79
118.40	417	0.81
119.55	391	0.76
120.20	459	0.89
121.20	415	0.81
122.25	443	0.86
122.85	503	0.98
123.75	417	0.81
124.70	898	1.74
125.95	510	0.99
126.70	222	0.43
127.40	549	1.07
128.40	213	0.41
129.05	904	1.75
130.50	444	0.86
131.15	194	0.38
132.00	347	0.67
132.75	217	0.42
133.20	401	0.78
133.80	195	0.38
134.15	217	0.42
134.75	1395	2.71
135.95	278	0.54
136.45	62	0.12
137.00	273	0.53
137.55	69	0.13
138.10	257	0.50
138.60	219	0.43
139.15	160	0.31
139.95	16	0.03
140.75	1142	2.22
142.10	721	1.40
142.95	145	0.28
143.55	401	0.78
144.20	81	0.16
144.85	1306	2.53
145.85	703	1.36
146.75	140	0.27
147.85	283	0.55
148.30	311	0.60
149.00	74	0.14
149.75	310	0.60
151.10	268	0.52
151.60	114	0.22
152.20	176	0.34
152.70	246	0.48
153.25	147	0.29
153.75	125	0.24
154.35	100	0.19
155.05	309	0.60
156.05	143	0.28
156.55	166	0.32
157.15	163	0.32
157.55	181	0.35
158.40	962	1.87
159.80	190	0.37
160.15	201	0.39
160.85	91	0.18
161.70	897	1.74
162.50	121	0.23
163.00	132	0.26
163.55	101	0.20
165.05	1676	3.25
165.80	83	0.16
166.25	226	0.44
167.50	202	0.39
167.90	99	0.19
169.00	126	0.24
170.10	43	0.08
171.30	73	0.14
171.70	209	0.41
172.25	94	0.18
173.45	162	0.31
173.95	133	0.26
174.85	30	0.06
175.80	333	0.65
176.60	216	0.42
177.65	44	0.09
178.55	2	0.00
179.40	86	0.17
179.90	188	0.36
180.45	50	0.10
181.10	13	0.03
181.50	57	0.11
182.45	79	0.15
183.80	79	0.15
184.20	103	0.20
184.80	63	0.12
185.40	22	0.04
185.95	141	0.27
186.35	104	0.20
187.15	837	1.62
188.65	93	0.18
189.25	61	0.12
189.70	117	0.23
190.30	179	0.35
190.75	69	0.13
191.90	84	0.16
193.05	269	0.52
193.95	6	0.01
194.75	476	0.92
195.20	785	1.52
196.25	72	0.14
197.70	169	0.33
199.05	285	0.55
200.05	14	0.03
202.05	6	0.01
204.05	15	0.03
205.05	42	0.08
206.05	65	0.13
206.80	970	1.88
208.20	233	0.45
208.85	81	0.16
209.20	60	0.12
210.15	22	0.04
211.00	86	0.17
212.05	1152	2.24
212.80	93	0.18
214.15	110	0.21
215.80	139	0.27
216.75	33	0.06
217.90	95	0.18
218.60	880	1.71
219.55	56	0.11
220.50	708	1.37
221.55	27	0.05
222.55	13	0.03
223.55	28	0.05
224.55	12	0.02
227.80	805	1.56
228.75	26	0.05
229.75	37	0.07
232.55	907	1.76
232.95	657	1.28
234.25	116	0.23
235.25	69	0.13
236.50	60	0.12
237.00	56	0.11
237.50	48	0.09
239.45	23	0.04
240.45	6	0.01
241.45	30	0.06
243.00	92	0.18
244.60	113	0.22
245.55	13	0.03
247.30	123	0.24
248.15	114	0.22
249.10	578	1.12
250.05	104	0.20
251.05	19	0.04
252.05	41	0.08
253.10	124	0.24
254.05	3	0.01
255.00	1088	2.11
255.85	88	0.17
256.75	862	1.67
257.80	2319	4.50
258.85	40	0.08
259.85	10	0.02
260.85	65	0.13
263.85	20	0.04
265.05	839	1.63
266.05	6	0.01
267.95	147	0.29
268.95	20	0.04
269.95	17	0.03
270.95	14	0.03
271.85	7	0.01
272.70	7916	15.36
273.95	102	0.20
274.95	37	0.07
277.20	125	0.24
277.70	122	0.24
278.70	101	0.20
279.55	413	0.80
280.50	64	0.12
282.85	714	1.39
283.85	11	0.02
285.85	9	0.02
287.85	18	0.03
288.85	9	0.02
290.90	2330	4.52
291.75	267	0.52
292.35	778	1.51
292.80	1129	2.19
294.75	7	0.01
295.75	2	0.00
296.75	5	0.01
297.75	25	0.05
299.50	602	1.17
300.45	27	0.05
301.45	2	0.00
302.85	399	0.77
304.75	10	0.02
305.50	65	0.13
307.55	3	0.01
308.65	4036	7.83
309.75	2336	4.53
310.70	3106	6.03
311.80	2410	4.68
314.75	10	0.02
315.65	9	0.02
316.45	439	0.85
318.45	24	0.05
319.45	4	0.01
320.45	5	0.01
321.80	55	0.11
323.85	10	0.02
325.05	1139	2.21
325.65	128	0.25
326.65	4	0.01
327.45	1606	3.12
328.55	5	0.01
329.50	62	0.12
331.55	96	0.19
332.85	6025	11.69
334.90	102	0.20
335.40	55	0.11
336.70	2281	4.43
337.65	749	1.45
338.65	2	0.00
340.30	74	0.14
342.15	13	0.03
342.90	102	0.20
344.85	849	1.65
345.65	451	0.88
347.35	116	0.23
348.75	3301	6.41
349.75	17	0.03
351.15	2000	3.88
352.20	652	1.27
