[MS Spectrum]
# of Peaks	508
Raw Spectrum	[6.340],(scan:[2537])
Background	No Background Spectrum
Base Peak	m/z 83.05 (Inten : 220,758)
m/z	Absolute Intensity	Relative Intensity
52.65	5	0.00
55.65	14	0.01
56.40	13	0.01
58.35	10	0.00
59.10	2564	1.16
60.35	602	0.27
71.65	96	0.04
77.40	28	0.01
79.05	3519	1.59
79.95	201	0.09
80.90	195	0.09
81.85	10	0.00
83.05	220758	100.00
84.10	12477	5.65
85.05	38973	17.65
85.70	1228	0.56
86.60	2410	1.09
87.20	537	0.24
88.25	938	0.42
89.00	540	0.24
94.40	88	0.04
95.85	1318	0.60
98.85	101	0.05
100.05	21037	9.53
101.15	4360	1.98
102.15	901	0.41
103.25	606	0.27
104.35	48	0.02
109.45	6	0.00
110.45	9	0.00
114.15	364	0.16
115.90	316	0.14
116.80	41	0.02
117.60	205	0.09
118.20	455	0.21
119.15	1407	0.64
120.05	13836	6.27
121.20	516	0.23
122.05	364	0.16
123.70	885	0.40
124.60	2219	1.01
126.00	195275	88.46
126.70	15558	7.05
127.95	8026	3.64
129.20	1027	0.47
129.75	1969	0.89
130.25	2904	1.32
130.80	813	0.37
131.85	3	0.00
133.75	1710	0.77
137.65	44	0.02
138.90	107	0.05
139.45	1705	0.77
139.85	1480	0.67
140.80	925	0.42
141.80	5547	2.51
143.05	677	0.31
145.65	238	0.11
146.85	1038	0.47
147.45	171	0.08
148.55	44	0.02
150.25	276	0.13
150.75	283	0.13
151.75	493	0.22
152.80	2352	1.07
153.20	944	0.43
154.15	18	0.01
155.70	428	0.19
157.15	294	0.13
158.20	364	0.16
159.15	61	0.03
161.05	34	0.02
162.00	1608	0.73
163.25	397	0.18
164.20	470	0.21
164.90	1232	0.56
166.95	255	0.12
167.35	248	0.11
168.15	368	0.17
168.90	3187	1.44
170.25	762	0.35
170.90	1928	0.87
171.65	438	0.20
172.25	502	0.23
172.75	112	0.05
173.65	20	0.01
174.50	160	0.07
175.45	22	0.01
176.45	26	0.01
178.45	245	0.11
181.90	201	0.09
182.55	869	0.39
183.60	105	0.05
184.05	291	0.13
185.15	510	0.23
186.15	30	0.01
187.15	4	0.00
189.15	7	0.00
191.15	11	0.00
192.15	17	0.01
193.45	125	0.06
194.25	1136	0.51
195.05	7	0.00
195.85	448	0.20
197.95	5049	2.29
199.05	3151	1.43
201.30	436	0.20
202.05	280	0.13
204.05	4	0.00
205.05	16	0.01
207.05	13	0.01
209.50	353	0.16
210.10	203	0.09
211.05	7	0.00
212.80	119	0.05
213.95	28261	12.80
215.05	6265	2.84
216.05	1837	0.83
217.55	175	0.08
218.55	13	0.01
220.95	318	0.14
224.40	745	0.34
225.25	123	0.06
226.10	813	0.37
227.05	4	0.00
228.05	17	0.01
229.05	38	0.02
231.05	5	0.00
232.25	777	0.35
234.65	279	0.13
235.15	818	0.37
235.85	111	0.05
238.05	307	0.14
238.75	1600	0.72
239.40	5241	2.37
240.35	182	0.08
244.10	179	0.08
245.95	41	0.02
247.25	562	0.25
252.25	33	0.01
253.25	2	0.00
254.05	557	0.25
254.90	27159	12.30
256.05	2261	1.02
256.95	1039	0.47
258.10	512	0.23
259.20	908	0.41
261.05	2912	1.32
261.60	306	0.14
262.35	106	0.05
262.85	124	0.06
265.40	1925	0.87
266.25	104	0.05
267.15	15	0.01
268.15	14	0.01
270.15	11	0.00
271.20	428	0.19
272.00	1281	0.58
272.75	498	0.23
274.75	149	0.07
275.75	14	0.01
278.40	890	0.40
279.20	882	0.40
280.20	300	0.14
282.25	156	0.07
282.95	217	0.10
286.00	1221	0.55
288.05	1	0.00
289.35	189	0.09
294.35	26	0.01
296.35	16	0.01
297.35	11	0.00
298.35	11	0.00
299.60	672	0.30
300.45	8	0.00
301.25	79	0.04
301.75	40	0.02
302.75	43	0.02
304.45	226	0.10
305.45	14	0.01
306.75	675	0.31
307.75	20	0.01
309.05	978	0.44
310.65	200	0.09
312.35	368	0.17
313.20	1293	0.59
314.65	368	0.17
316.70	639	0.29
317.75	37	0.02
318.90	1187	0.54
319.45	1213	0.55
320.25	6	0.00
321.05	135	0.06
322.30	156	0.07
324.30	411	0.19
325.10	217	0.10
327.05	37	0.02
328.05	9	0.00
329.65	958	0.43
330.95	39266	17.79
331.95	11494	5.21
333.30	372	0.17
334.15	1039	0.47
334.95	1964	0.89
335.60	104	0.05
336.20	3377	1.53
337.25	30	0.01
339.25	95	0.04
340.00	581	0.26
341.35	1601	0.73
343.15	608	0.28
345.15	11	0.00
347.75	2752	1.25
348.40	5144	2.33
348.95	974	0.44
349.80	379	0.17
350.70	698	0.32
351.40	182	0.08
351.95	94	0.04
352.45	928	0.42
353.25	453	0.21
354.15	2072	0.94
355.10	986	0.45
355.50	322	0.15
357.05	553	0.25
358.05	50	0.02
358.90	1096	0.50
360.25	31490	14.26
361.25	11240	5.09
362.20	1095	0.50
363.15	9	0.00
366.15	37	0.02
368.35	966	0.44
369.20	1301	0.59
370.35	1142	0.52
370.80	145	0.07
371.95	14036	6.36
372.95	1383	0.63
373.35	293	0.13
374.25	13	0.01
375.10	72	0.03
375.90	3581	1.62
376.75	960	0.43
377.75	3	0.00
378.90	562	0.25
379.75	244	0.11
380.90	57	0.03
382.10	121	0.05
383.15	64	0.03
384.20	123	0.06
385.25	33	0.01
386.25	1	0.00
387.35	598	0.27
388.35	495	0.22
390.00	1956	0.89
391.15	353	0.16
392.90	193	0.09
393.85	42	0.02
394.65	91	0.04
395.40	11781	5.34
396.10	100	0.05
397.25	1327	0.60
398.25	20	0.01
399.25	34	0.02
400.35	205	0.09
401.05	301	0.14
403.05	218	0.10
404.10	3829	1.73
404.70	611	0.28
405.55	13	0.01
406.30	727	0.33
407.35	43	0.02
408.35	10	0.00
409.75	810	0.37
411.20	103	0.05
411.80	106	0.05
412.30	541	0.25
413.25	29	0.01
415.15	1199	0.54
416.60	420	0.19
418.50	858	0.39
421.10	273	0.12
