[MS Spectrum]
# of Peaks	681
Raw Spectrum	[7.035],(scan:[2815])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 460,088)
m/z	Absolute Intensity	Relative Intensity
50.65	24	0.01
54.65	7	0.00
55.65	17	0.00
57.65	1	0.00
58.70	473	0.10
59.35	832	0.18
63.35	4	0.00
64.35	5	0.00
65.35	11	0.00
66.35	7	0.00
67.35	63	0.01
68.35	17	0.00
69.35	4	0.00
71.35	6	0.00
73.30	368	0.08
77.35	19	0.00
78.25	3087	0.67
79.05	125928	27.37
80.05	1377	0.30
81.00	7638	1.66
81.95	22	0.00
83.00	9614	2.09
84.00	635	0.14
84.90	166	0.04
86.50	396	0.09
87.05	2198	0.48
88.25	142	0.03
88.65	16	0.00
89.65	11	0.00
91.45	217	0.05
95.70	233	0.05
96.35	451	0.10
97.40	768	0.17
99.00	702	0.15
100.15	8517	1.85
101.15	31	0.01
102.15	1	0.00
103.15	1	0.00
104.15	18	0.00
105.05	336	0.07
107.95	341	0.07
109.05	12	0.00
110.15	675	0.15
110.50	266	0.06
113.70	234	0.05
114.95	1674	0.36
115.85	7	0.00
116.85	34	0.01
118.85	866	0.19
119.95	373163	81.11
120.80	33284	7.23
122.00	27723	6.03
122.85	755	0.16
123.65	495	0.11
124.10	1000	0.22
125.75	544	0.12
126.15	479	0.10
128.90	763	0.17
129.30	305	0.07
130.95	189	0.04
134.15	809	0.18
135.15	26	0.01
137.10	905	0.20
137.85	393	0.09
138.20	184	0.04
139.00	605	0.13
139.35	230	0.05
140.35	43	0.01
142.20	201	0.04
142.50	160	0.03
144.00	49	0.01
144.80	237	0.05
145.30	87	0.02
146.15	786	0.17
146.85	111	0.02
148.15	129	0.03
150.15	2	0.00
151.05	14	0.00
151.90	439	0.10
152.95	33	0.01
154.65	193	0.04
155.65	245	0.05
156.85	460088	100.00
157.85	16540	3.59
158.85	62258	13.53
159.55	3491	0.76
160.35	755	0.16
160.95	2035	0.44
162.80	651	0.14
164.05	220	0.05
164.90	96	0.02
165.40	63	0.01
168.30	155	0.03
169.25	444	0.10
169.80	832	0.18
170.35	100	0.02
170.90	77	0.02
171.95	735	0.16
172.45	938	0.20
173.65	233	0.05
174.25	1726	0.38
174.95	1482	0.32
175.75	298	0.06
178.75	8	0.00
179.75	27	0.01
182.20	705	0.15
183.25	26	0.01
184.30	716	0.16
185.10	368	0.08
185.65	372	0.08
187.00	5268	1.14
187.70	2483	0.54
188.20	278	0.06
189.25	32	0.01
193.25	38	0.01
194.15	3	0.00
195.00	954	0.21
196.15	802	0.17
197.15	33	0.01
198.25	3901	0.85
199.10	1460	0.32
199.85	476	0.10
200.30	137	0.03
201.90	1206	0.26
202.85	3	0.00
203.85	60	0.01
204.85	93	0.02
208.80	568	0.12
211.70	1267	0.28
212.20	1607	0.35
213.05	22	0.00
213.85	1973	0.43
215.85	2	0.00
217.20	266	0.06
219.65	502	0.11
221.00	32	0.01
221.75	1046	0.23
223.95	607	0.13
225.10	2906	0.63
225.80	1740	0.38
226.45	126	0.03
227.00	2060	0.45
227.55	472	0.10
228.75	937	0.20
230.75	15	0.00
232.60	117	0.03
233.55	2	0.00
234.90	1093	0.24
236.00	790	0.17
236.75	100	0.02
237.65	18	0.00
238.40	59	0.01
239.40	912	0.20
239.95	367	0.08
240.95	434	0.09
242.15	437	0.09
242.85	213	0.05
243.50	80	0.02
244.95	340	0.07
245.75	200	0.04
246.75	2	0.00
247.75	9	0.00
249.05	1474	0.32
252.00	910	0.20
253.45	2141	0.47
254.30	777	0.17
254.85	249	0.05
255.25	184	0.04
256.25	58	0.01
257.25	4	0.00
258.25	17	0.00
259.25	3	0.00
