[MS Spectrum]
# of Peaks	650
Raw Spectrum	[6.392],(scan:[2558])
Background	No Background Spectrum
Base Peak	m/z 55.55 (Inten : 43,362)
m/z	Absolute Intensity	Relative Intensity
53.65	1556	3.59
54.65	4800	11.07
55.55	43362	100.00
57.40	18342	42.30
58.65	20036	46.21
58.85	5110	11.78
60.00	10417	24.02
61.15	8964	20.67
62.25	5860	13.51
63.30	6156	14.20
63.75	2152	4.96
64.65	8964	20.67
65.55	2185	5.04
66.55	2321	5.35
67.45	2264	5.22
68.05	6107	14.08
69.15	6680	15.41
69.65	2117	4.88
70.55	8517	19.64
71.25	2007	4.63
72.15	7837	18.07
73.50	4995	11.52
74.05	1696	3.91
75.00	4661	10.75
75.85	2571	5.93
76.70	4197	9.68
78.00	5318	12.26
79.05	2145	4.95
79.65	1888	4.35
80.55	1259	2.90
81.40	5085	11.73
82.50	5249	12.11
83.35	1601	3.69
83.90	1334	3.08
84.45	1614	3.72
85.75	2749	6.34
86.65	1300	3.00
87.45	2483	5.73
88.25	1349	3.11
88.80	1095	2.53
89.30	1121	2.59
89.85	1406	3.24
91.00	15866	36.59
92.00	1051	2.42
92.55	1146	2.64
93.10	1014	2.34
93.60	901	2.08
94.15	998	2.30
94.70	805	1.86
95.20	837	1.93
96.10	18879	43.54
96.85	786	1.81
97.35	1038	2.39
97.90	811	1.87
98.50	788	1.82
99.25	1486	3.43
100.00	642	1.48
100.55	841	1.94
101.10	701	1.62
102.15	858	1.98
102.70	583	1.34
103.30	735	1.70
103.80	756	1.74
104.30	619	1.43
104.90	730	1.68
105.40	591	1.36
106.00	683	1.58
106.55	1139	2.63
107.10	713	1.64
107.60	623	1.44
108.10	453	1.04
108.65	505	1.16
109.25	544	1.25
109.70	512	1.18
110.20	440	1.01
110.85	698	1.61
111.35	351	0.81
111.85	562	1.30
112.45	510	1.18
113.00	580	1.34
113.55	622	1.43
114.35	968	2.23
115.05	388	0.89
115.65	360	0.83
116.15	679	1.57
116.70	405	0.93
117.25	456	1.05
117.80	529	1.22
118.45	533	1.23
118.85	473	1.09
119.70	639	1.47
120.50	360	0.83
121.10	352	0.81
121.60	278	0.64
122.10	289	0.67
122.70	380	0.88
123.15	280	0.65
123.70	320	0.74
124.35	283	0.65
124.90	537	1.24
125.40	394	0.91
125.90	407	0.94
126.40	384	0.89
127.05	268	0.62
127.55	446	1.03
127.95	411	0.95
128.70	216	0.50
129.15	355	0.82
129.80	354	0.82
130.25	254	0.59
130.75	351	0.81
131.20	175	0.40
131.95	435	1.00
132.60	477	1.10
133.55	610	1.41
134.15	230	0.53
134.70	210	0.48
135.25	247	0.57
136.35	524	1.21
137.50	128	0.30
137.85	140	0.32
138.60	163	0.38
139.80	601	1.39
141.15	348	0.80
141.80	195	0.45
142.40	342	0.79
142.90	132	0.30
143.35	93	0.21
143.95	245	0.57
145.10	311	0.72
145.70	319	0.74
146.55	83	0.19
147.25	393	0.91
147.80	87	0.20
148.50	538	1.24
148.90	210	0.48
149.35	187	0.43
150.00	206	0.48
150.50	127	0.29
151.15	317	0.73
151.75	247	0.57
152.20	68	0.16
153.00	1401	3.23
153.65	173	0.40
154.40	122	0.28
155.30	220	0.51
155.75	192	0.44
156.45	71	0.16
157.35	290	0.67
158.95	250	0.58
159.65	126	0.29
160.45	8	0.02
161.30	127	0.29
162.45	378	0.87
163.50	241	0.56
164.40	125	0.29
165.00	233	0.54
165.55	252	0.58
166.15	73	0.17
166.70	441	1.02
167.75	172	0.40
168.25	241	0.56
169.05	234	0.54
169.70	145	0.33
170.80	31	0.07
171.55	189	0.44
172.45	32	0.07
173.65	160	0.37
174.50	596	1.37
175.30	96	0.22
176.05	3	0.01
176.85	114	0.26
177.40	81	0.19
177.95	151	0.35
178.60	134	0.31
178.95	161	0.37
180.15	67	0.15
180.65	107	0.25
181.75	143	0.33
182.70	71	0.16
183.40	110	0.25
183.80	158	0.36
184.50	121	0.28
185.95	149	0.34
186.85	11	0.03
187.80	109	0.25
188.15	119	0.27
188.70	163	0.38
189.25	131	0.30
189.80	57	0.13
190.90	157	0.36
191.40	119	0.27
192.40	190	0.44
193.25	61	0.14
193.95	214	0.49
194.60	2282	5.26
195.60	114	0.26
196.65	120	0.28
197.45	4	0.01
198.25	60	0.14
198.95	81	0.19
199.90	17	0.04
200.35	65	0.15
200.85	76	0.18
202.15	121	0.28
202.75	109	0.25
203.65	82	0.19
204.50	58	0.13
205.15	124	0.29
205.75	38	0.09
207.20	164	0.38
208.80	936	2.16
210.00	152	0.35
210.60	98	0.23
213.15	45	0.10
214.45	186	0.43
214.90	37	0.09
215.95	2	0.00
217.05	50	0.12
218.05	20	0.05
219.25	30	0.07
220.40	147	0.34
220.80	65	0.15
221.45	43	0.10
222.25	2	0.00
223.10	128	0.30
223.70	145	0.33
224.80	2714	6.26
227.95	80	0.18
228.45	38	0.09
229.45	13	0.03
230.35	9	0.02
231.25	59	0.14
232.75	201	0.46
233.75	69	0.16
235.45	79	0.18
235.95	155	0.36
237.95	1630	3.76
238.60	109	0.25
239.55	40	0.09
240.55	121	0.28
241.45	127	0.29
242.15	244	0.56
242.95	1920	4.43
244.95	25	0.06
246.10	140	0.32
246.75	103	0.24
247.45	746	1.72
248.45	26	0.06
249.45	12	0.03
250.45	80	0.18
252.45	2	0.00
253.75	102	0.24
254.80	74	0.17
257.90	114	0.26
259.25	169	0.39
261.25	7	0.02
262.25	59	0.14
263.10	304	0.70
265.20	22	0.05
265.60	116	0.27
266.05	50	0.12
267.40	50	0.12
268.35	25	0.06
269.90	59	0.14
271.55	107	0.25
272.55	43	0.10
273.55	12	0.03
274.55	3	0.01
276.55	8	0.02
277.55	22	0.05
278.75	48	0.11
279.60	267	0.62
282.45	16	0.04
283.40	67	0.15
284.25	18	0.04
285.10	55	0.13
285.50	140	0.32
287.80	76	0.18
289.75	12	0.03
291.00	202	0.47
291.95	70	0.16
292.95	20	0.05
293.95	42	0.10
294.95	3	0.01
295.95	36	0.08
298.95	10	0.02
299.95	31	0.07
300.95	13	0.03
301.95	14	0.03
302.90	105	0.24
303.30	165	0.38
304.35	6	0.01
305.35	1	0.00
306.35	4	0.01
307.35	67	0.15
309.90	164	0.38
311.00	297	0.68
312.05	97	0.22
314.95	1	0.00
315.80	149	0.34
316.85	30	0.07
318.05	71	0.16
318.45	112	0.26
319.60	138	0.32
320.55	35	0.08
321.45	11	0.03
322.30	98	0.23
323.25	26	0.06
324.25	15	0.03
328.15	18	0.04
328.95	12187	28.11
329.65	3273	7.55
330.65	14	0.03
331.55	48	0.11
332.50	42	0.10
333.85	242	0.56
334.85	42	0.10
335.85	25	0.06
336.95	366	0.84
337.85	262	0.60
338.70	40	0.09
339.00	31	0.07
342.05	4	0.01
343.05	3	0.01
344.05	10	0.02
344.95	44	0.10
345.85	8	0.02
346.75	86	0.20
347.15	50	0.12
348.15	91	0.21
349.05	21	0.05
349.90	106	0.24
352.85	14	0.03
354.05	75	0.17
355.05	9	0.02
356.05	15	0.03
357.05	21	0.05
359.00	68	0.16
359.75	1	0.00
360.60	104	0.24
361.55	108	0.25
362.70	156	0.36
363.55	2	0.00
364.40	158	0.36
366.35	77	0.18
367.35	4	0.01
368.35	7	0.02
369.35	44	0.10
370.35	84	0.19
371.35	10	0.02
372.35	16	0.04
373.35	10	0.02
375.35	66	0.15
376.35	21	0.05
377.35	9	0.02
378.35	67	0.15
379.35	21	0.05
381.35	23	0.05
382.35	20	0.05
384.35	48	0.11
385.85	1269	2.93
386.85	10	0.02
387.85	9	0.02
388.85	11	0.03
389.85	2	0.00
390.85	19	0.04
391.85	19	0.04
392.85	17	0.04
394.85	2	0.00
395.85	47	0.11
396.85	50	0.12
397.85	66	0.15
398.85	15	0.03
399.85	2	0.00
400.85	71	0.16
401.75	1238	2.86
403.75	58	0.13
404.65	50	0.12
405.45	2021	4.66
406.45	68	0.16
408.35	7	0.02
409.25	1623	3.74
410.25	30	0.07
411.20	89	0.21
411.95	1589	3.66
412.95	49	0.11
413.95	106	0.24
414.95	55	0.13
416.70	461	1.06
417.65	39	0.09
418.65	12	0.03
419.85	80	0.18
420.35	62	0.14
421.80	23583	54.39
422.75	30	0.07
423.75	34	0.08
425.75	42	0.10
426.55	4	0.01
427.40	71	0.16
427.90	83	0.19
428.75	1049	2.42
431.65	1745	4.02
433.65	4	0.01
435.65	26	0.06
437.65	72	0.17
439.15	860	1.98
440.90	1480	3.41
442.85	32	0.07
443.85	14	0.03
447.85	17	0.04
448.85	40	0.09
450.05	28	0.06
