[MS Spectrum]
# of Peaks	760
Raw Spectrum	[8.635],(scan:[3455])
Background	No Background Spectrum
Base Peak	m/z 502.15 (Inten : 138,599)
m/z	Absolute Intensity	Relative Intensity
50.65	37	0.03
51.65	21	0.02
52.65	25	0.02
53.65	2	0.00
54.65	4	0.00
56.65	22	0.02
57.65	50	0.04
59.10	1566	1.13
59.95	48	0.03
60.55	565	0.41
61.30	89	0.06
62.35	38	0.03
63.25	29	0.02
64.20	514	0.37
65.15	2	0.00
66.70	148	0.11
67.10	86	0.06
68.15	48	0.03
69.15	49	0.04
70.15	10	0.01
71.15	2	0.00
73.15	4	0.00
74.15	12	0.01
75.15	43	0.03
76.15	60	0.04
77.15	21	0.02
79.35	268	0.19
80.35	55	0.04
82.35	30	0.02
83.35	351	0.25
84.85	997	0.72
85.45	413	0.30
86.90	2766	2.00
87.75	497	0.36
90.75	9	0.01
91.75	5	0.00
92.75	19	0.01
93.75	55	0.04
94.75	3	0.00
95.75	39	0.03
96.75	49	0.04
97.75	27	0.02
98.75	22	0.02
100.05	7175	5.18
100.80	1660	1.20
101.35	535	0.39
102.35	84	0.06
103.35	12	0.01
105.05	3308	2.39
106.05	11	0.01
107.05	51	0.04
108.05	3	0.00
109.05	12	0.01
109.95	333	0.24
110.90	57	0.04
112.10	53	0.04
112.50	54	0.04
113.60	118	0.09
114.95	1929	1.39
115.85	13	0.01
116.85	32	0.02
118.85	8	0.01
120.35	1614	1.16
121.00	250	0.18
121.50	520	0.38
122.15	1275	0.92
124.10	214	0.15
124.85	22	0.02
125.50	1292	0.93
126.25	338	0.24
127.25	34	0.02
128.50	1124	0.81
129.05	433	0.31
129.60	1909	1.38
130.05	696	0.50
131.05	9	0.01
133.10	550	0.40
133.60	134	0.10
134.45	11	0.01
135.25	304	0.22
136.25	22	0.02
137.25	8	0.01
138.15	6	0.00
139.00	182	0.13
140.45	86	0.06
142.15	151	0.11
143.10	329	0.24
144.15	9	0.01
145.15	44	0.03
146.15	47	0.03
147.05	141	0.10
147.90	110	0.08
149.40	1040	0.75
150.35	9	0.01
151.35	20	0.01
153.35	19	0.01
154.35	31	0.02
155.25	326	0.24
156.00	501	0.36
157.00	557	0.40
157.90	270	0.19
160.05	217	0.16
162.00	64	0.05
163.05	422	0.30
164.05	5	0.00
166.05	6	0.00
167.05	13	0.01
168.15	514	0.37
169.60	46	0.03
170.40	83	0.06
171.70	1611	1.16
173.55	19	0.01
174.10	124	0.09
177.50	28	0.02
178.35	491	0.35
179.35	22	0.02
180.95	116	0.08
182.05	126	0.09
183.65	247	0.18
184.15	465	0.34
184.90	460	0.33
185.85	43	0.03
186.85	37	0.03
187.80	199	0.14
188.30	262	0.19
189.10	764	0.55
189.90	529	0.38
190.40	32	0.02
191.05	485	0.35
192.95	1	0.00
193.80	724	0.52
195.90	84	0.06
197.00	971	0.70
197.80	275	0.20
199.30	341	0.25
200.25	2	0.00
201.25	15	0.01
206.50	682	0.49
209.80	140	0.10
211.05	239	0.17
211.80	65	0.05
212.75	19	0.01
214.00	392	0.28
214.85	105	0.08
