[MS Spectrum]
# of Peaks	594
Raw Spectrum	[6.847],(scan:[2740])
Background	No Background Spectrum
Base Peak	m/z 56.40 (Inten : 47,497)
m/z	Absolute Intensity	Relative Intensity
54.65	2771	5.83
55.65	5387	11.34
56.40	47497	100.00
58.35	15111	31.81
59.45	15049	31.68
60.60	10766	22.67
61.60	7011	14.76
62.70	6945	14.62
63.85	6748	14.21
64.35	2120	4.46
65.25	8434	17.76
66.05	2059	4.34
66.90	9261	19.50
67.85	2148	4.52
68.95	9711	20.45
70.40	5944	12.51
71.50	5960	12.55
72.60	5484	11.55
73.70	5124	10.79
74.55	2906	6.12
75.70	6107	12.86
76.35	1494	3.15
77.25	5983	12.60
78.05	1342	2.83
79.10	4804	10.11
79.85	1245	2.62
81.25	31518	66.36
82.05	2732	5.75
83.05	1123	2.36
84.65	2984	6.28
85.45	963	2.03
86.15	3447	7.26
87.25	974	2.05
87.65	3830	8.06
88.95	841	1.77
89.55	3257	6.86
90.90	12561	26.45
92.20	2788	5.87
93.05	779	1.64
93.95	749	1.58
94.85	725	1.53
95.70	1273	2.68
96.85	2613	5.50
97.65	627	1.32
98.45	1132	2.38
99.75	1889	3.98
100.65	860	1.81
101.65	814	1.71
102.30	929	1.96
103.05	1316	2.77
103.85	707	1.49
104.60	1034	2.18
105.55	1109	2.33
106.50	1172	2.47
107.65	1354	2.85
108.85	1307	2.75
109.90	597	1.26
110.50	645	1.36
111.75	1008	2.12
112.90	1306	2.75
113.70	482	1.01
114.25	483	1.02
114.85	428	0.90
115.55	716	1.51
116.80	4758	10.02
117.20	1696	3.57
118.00	1064	2.24
119.05	407	0.86
119.65	404	0.85
120.25	369	0.78
121.05	734	1.55
122.40	356	0.75
122.95	216	0.45
123.75	741	1.56
124.65	305	0.64
125.70	344	0.72
126.60	585	1.23
127.85	1390	2.93
128.55	696	1.47
129.45	596	1.25
130.05	381	0.80
131.15	405	0.85
131.70	305	0.64
132.45	82	0.17
133.25	277	0.58
134.40	355	0.75
135.15	2448	5.15
136.10	287	0.60
137.45	511	1.08
138.10	257	0.54
138.75	356	0.75
139.25	255	0.54
140.05	250	0.53
140.85	3064	6.45
142.00	310	0.65
143.05	909	1.91
144.30	435	0.92
144.85	881	1.85
145.90	81	0.17
146.65	131	0.28
147.85	321	0.68
149.05	380	0.80
149.70	257	0.54
150.75	377	0.79
151.65	24	0.05
152.30	370	0.78
152.80	138	0.29
153.75	396	0.83
155.05	2245	4.73
156.95	173	0.36
157.45	92	0.19
158.15	332	0.70
158.65	159	0.33
159.60	86	0.18
160.35	589	1.24
161.35	146	0.31
161.80	127	0.27
162.90	200	0.42
164.00	109	0.23
164.60	208	0.44
165.65	203	0.43
166.10	74	0.16
166.70	58	0.12
167.45	296	0.62
168.25	12	0.03
169.15	281	0.59
169.95	150	0.32
170.45	245	0.52
171.40	52	0.11
172.10	119	0.25
173.20	270	0.57
174.30	19	0.04
174.90	133	0.28
175.70	54	0.11
176.55	350	0.74
177.50	90	0.19
177.90	29	0.06
178.40	81	0.17
179.00	44	0.09
179.60	252	0.53
180.35	16	0.03
181.05	191	0.40
181.85	88	0.19
182.60	718	1.51
183.65	4	0.01
185.10	52	0.11
185.55	139	0.29
186.35	122	0.26
187.15	214	0.45
188.45	260	0.55
190.00	125	0.26
191.00	2349	4.95
192.60	74	0.16
193.20	73	0.15
194.10	354	0.75
195.55	1061	2.23
196.50	870	1.83
197.40	85	0.18
199.05	192	0.40
199.90	45	0.09
